,hour,date,min_2,std_1,max_1,std_2,max_0,mean_0,min_1,std_0,min_0,mean_1,mean_2,max_2,urate_0,urate_1,urate_2
0,0,2020-05-01,-90.0,2125.698318113529,20890.0,1336997.9882823224,37438828.0,68307.26304986865,-22.060789,964404.2592224698,-422.0,389.240359028104,74139.95227076432,42009320.0,3.4282253179890976,4.090342679127726,3.144144144144144
1,1,2020-05-01,-90.154846,2274.518318825922,21960.0,1282831.2646823372,37439424.0,67290.74206555448,-21.855728,952595.6305913498,-422.0,421.5382170639093,68675.50164764482,42009836.0,3.516656571774682,3.9893190921228303,3.4167852062588904
2,10,2020-05-01,-90.0,431.0648557369588,5295.212402,1249553.403029369,37444392.0,68957.70860143089,-20.637024,964289.0542393887,-422.0,178.83458536155908,65175.48716675257,42014720.0,3.4324651726226527,4.057409879839787,3.6026552868658133
3,11,2020-05-01,-90.15484599999999,514.5706103666672,5295.212402,1250400.6607308048,37444912.0,66893.2347665936,-21.194777,949662.4199117082,-422.0,195.4377284482389,65302.06205618904,42015288.0,3.5396729254996973,3.9470404984423677,3.597913703176861
4,12,2020-05-01,-90.0,578.4581541102469,5730.0,1243325.814345187,37445412.0,68916.31309324941,-21.034052,963989.0346994632,-422.0,202.07160442712978,64547.66789219295,42015864.0,3.43488794669897,3.965732087227414,3.6391654812707444
5,13,2020-05-01,-90.15484600000002,646.3939018162035,6540.0,1251260.0737413606,37445968.0,66332.97290707583,-20.559767,946075.008762653,-422.0,211.33663299931425,65373.87318428437,42016436.0,3.5669291338582676,3.7703604806408544,3.593172119487909
6,14,2020-05-01,-90.0,741.9842450148521,7350.0,1245064.6558696902,37446548.0,64478.60430076643,-22.266199,932421.058749998,-422.0,224.53022868253527,64721.35522244917,42016976.0,3.672925499697153,4.350689808633734,3.629208155523945
7,15,2020-05-01,-90.154846,863.9119966045994,8350.0,1233170.9447276967,37447148.0,64846.16472832868,-23.767145,935125.0499771612,-422.0,245.89758329073751,63481.35939458817,42017540.0,3.651726226529376,4.518024032042724,3.6998577524893315
8,16,2020-05-01,-90.0,943.57046872391,9240.0,1254461.202164654,37447788.0,65383.16598217328,-24.109352,938718.7850402347,-422.0,245.94548459389185,65693.0835250882,42018088.0,3.623864324651726,4.311526479750778,3.575154101469891
9,17,2020-05-01,-90.154846,1051.942511987993,10210.0,1270976.0998157237,37448428.0,64411.979599866696,-24.125173999999998,931934.7181683704,-422.0,263.43688034765347,67418.59187941434,42018604.0,3.677165354330709,4.06675567423231,3.482693219535325
10,18,2020-05-01,-90.154846,1106.7951650421878,11000.0,1243212.1374849626,37449032.0,66419.43886251705,-22.28194,945540.4350066991,-422.0,265.6994729429926,64590.45625565725,42019184.0,3.5717746820109024,6.164218958611482,3.64058795637743
11,19,2020-05-01,-90.0,1173.417504894738,11940.0,1264084.4915111433,37449640.0,66085.74083561148,-21.772398,943551.2120704396,-422.0,266.4625211022156,66740.27970950732,42019760.0,3.586917019987886,5.5309301290609705,3.5211000474158367
12,2,2020-05-01,-90.154846,2373.0403090906293,23090.0,1283649.1061347441,37440020.0,65848.15945517397,-21.686988999999997,942406.088284231,-422.0,428.46662751077514,68755.45387881272,42010356.0,3.593579648697759,4.3155318202047175,3.4125177809388334
13,20,2020-05-01,-562.531128,1368.9643952106599,13020.0,1274413.5532924943,37450260.0,68161.59505039778,-21.713226,958598.6072526476,-422.0,306.6518761855683,67795.09467878036,42020284.0,3.4748637189582072,4.247441032487761,3.4642010431484116
14,21,2020-05-01,-164.53241,1518.9047460035044,14220.0,1280034.224600702,37450880.0,66605.62732774383,-21.734804,947662.9062203655,-557.570557,323.4349038854573,68377.8397089425,42020804.0,3.5560266505148395,4.2256341789052065,3.4338549075391183
15,22,2020-05-01,-90.154846,1646.3444425694468,15410.0,1279703.0576984393,37451448.0,66971.30616169026,-21.350348,950180.2715029274,-422.0,341.3966903941086,68394.86643582577,42021348.0,3.53725015142338,3.978638184245661,3.435751541014699
16,23,2020-05-01,-90.154846,1833.8259329022396,16660.0,1282631.1490621315,37452040.0,66920.82751283815,-22.667356,950179.475979443,-422.0,367.236107060924,68652.18600521833,42021860.0,3.53725015142338,3.977303070761015,3.420104314841157
17,3,2020-05-01,-90.15484599999999,2432.9842617168842,24250.0,1255623.338456111,37440576.0,66312.01174596247,-21.602112,945518.4078882905,-422.0,429.19636712282147,65821.12087455005,42010892.0,3.5699576014536643,4.2874944370271475,3.5670934091986726
18,4,2020-05-01,-90.0,2649.9180197984388,25310.0,1255470.2503838553,37441152.0,70149.11118328378,-21.699814,972686.0692231859,-422.0,469.4618019914178,65768.47409044193,42011420.0,3.3725015142337975,4.0178015131286156,3.568041725936463
19,5,2020-05-01,-90.154846,2633.2838173610126,26310.0,1249462.1822154429,37441716.0,70171.5372273807,-22.163418,972625.6214918272,-422.0,446.26326249428666,65164.854414940266,42011952.0,3.373107207752877,3.958611481975968,3.6026552868658133
20,6,2020-05-01,-90.154846,2826.032555060101,27320.0,1253684.0237460851,37442280.0,72328.1068968684,-21.338148,987654.114667787,-422.0,487.00343945845884,65593.84530861497,42012488.0,3.2707450030284675,3.816644414775256,3.5784732100521572
21,7,2020-05-01,-90.154846,265.0116873469333,5295.212402,1255360.764859897,37442804.0,71138.31388567411,-22.376888,971363.6291236102,-422.0,142.83211207208856,65782.43038656024,42013040.0,3.3858267716535435,3.8807298620382733,3.5689900426742533
22,8,2020-05-01,-90.154846,299.1586147013359,5295.212402,1229192.7149995575,37443336.0,67039.9677960867,-21.940400999999998,950981.7367064407,-422.0,161.13208671084948,63067.06221739678,42013592.0,3.5293761356753484,3.9617267467734756,3.7230915125651967
23,9,2020-05-01,-90.154846,360.48151372964713,5295.212402,1234084.538150268,37443860.0,66985.35089696391,-21.890184,950359.7551931174,-422.0,168.74110213261815,63595.53179361173,42014160.0,3.534221683827983,3.98353360035603,3.6936936936936937
24,1,2020-03-16,18.680399,0.0,0.0,1.9243861552517187,0.0,0.0,0.0,0.0,0.0,0.0,20.0411455,21.401892,0.0,0.0008900756564307966,0.000948316737790422
25,10,2020-03-16,20.1,0.0,552.995422,256.0406737456811,264.510284,250.113899,552.995422,20.359562916144604,235.717514,552.995422,137.2646354,595.264465,0.0012113870381586917,0.0004450378282153983,0.002370791844476055
26,11,2020-03-16,17.632545,0.0,0.0,225.3748447899376,0.0,0.0,0.0,0.0,0.0,0.0,118.102257,577.807129,0.0,0.0,0.002844950213371266
27,12,2020-03-16,0.0,0.0,0.0,13.253279931265656,0.0,0.0,0.0,0.0,0.0,0.0,21.693722125,48.0,0.0,0.0008900756564307966,0.003793266951161688
28,2,2020-03-16,18.415204999999997,0.0,0.0,3.0584227829394353,0.0,0.0,0.0,0.0,0.0,0.0,21.917627999999997,24.060917,0.0,0.0017801513128615932,0.001422475106685633
29,6,2020-03-16,18.781973,39.52508552258771,98.366501,1.781500380870573,0.0,0.0,42.469589,0.0,0.0,70.418045,20.041684,21.301395,0.0,0.0008900756564307966,0.000948316737790422
30,7,2020-03-16,0.0,21186.848710818096,94667.851562,150894.05192027322,1278824.125,79828.878401,0.0,299387.9315010078,0.0,12038.17129409091,60454.909587085094,721646.5625,0.010902483343428226,0.009790832220738763,0.022285443338074917
31,8,2020-03-16,17.823328,0.0,0.0,3.108328704685735,0.0,0.0,0.0,0.0,0.0,0.0,22.464436400000004,25.424177,0.0,0.0,0.002370791844476055
32,9,2020-03-16,1.0,0.0,0.0,50.649228977890566,0.0,0.0,0.0,0.0,0.0,0.0,38.009584800000006,126.563263,0.0,0.0,0.002370791844476055
33,0,2020-03-16,21.946655,0.0,21.946655,0.0,0.0,0.0,21.946655,0.0,0.0,21.946655,21.946655,21.946655,0.0,0.0022251891410769915,0.000474158368895211
34,13,2020-03-16,18.672756,63.63961030678928,90.0,18.062978793725136,7.080676,3.0634620000000004,0.0,2.6244842418289545,0.711892,45.0,32.1980814,82.140846,0.01029678982434888,0.029817534490431688,0.00474158368895211
35,14,2020-03-16,1.0,90.94850669794256,397.9332580000001,11.988991054302334,273.814392,151.085807,0.0,173.5644293978592,28.357222,53.43186555,24.442706976190482,85.23960100000001,0.0012113870381586917,0.03159768580329328,0.01991465149359886
36,15,2020-03-16,0.627989,77.15043196547254,430.57135000000005,32.311602913285,74.352341,37.00071085714286,0.0,26.50219087410982,1.0,37.505973862745094,30.674962477876093,322.770691,0.008479709267110842,0.0520694259012016,0.05357989568515884
37,16,2020-03-16,-90.09492499999999,995210.7629256244,41389256.0,39846.286076350625,41389256.0,179700.26646930267,-85.0,1914587.6435411077,-422.0,42585.077640849064,3224.3546025706687,786692.5,1.8467595396729255,2.14508233199822,2.217638691322902
38,17,2020-03-16,-90.323044,715391.60637752,41389924.0,34148.4892866229,41389912.0,106410.55338632752,-85.0,1411051.2698027443,-422.0,22266.949611580738,2356.9370299619077,786692.5,3.8576620230163536,4.816644414775256,4.0327169274537695
39,18,2020-03-16,-90.323044,718838.2975571952,41390584.0,34728.25178412723,41390572.0,98156.3489466279,-85.0,1355645.9827558624,-422.0,22510.471902461177,2436.9241959534447,786692.5,4.1847365233192,4.246550956831331,3.900900900900901
40,19,2020-03-16,-90.323044,691913.7499812337,41391240.0,34279.84058214582,41391232.0,89105.39752768201,-85.0,1291841.246888004,-422.0,20886.293096707937,2382.6519324338947,786692.5,4.617201695941853,5.247441032487761,4.006164058795638
41,20,2020-03-16,-89.923965,699864.6919568484,41391892.0,34816.546612938946,41391884.0,96976.01994633516,-85.0,1347937.3192667186,-422.0,21374.4095408985,2452.758579417011,786692.5,4.230163537250151,4.529149977748109,3.885253674727359
42,21,2020-03-16,-90.094925,683516.5842111474,41392536.0,34808.008714677846,41392528.0,105145.6063395126,-85.0,1402954.4340370214,-422.0,20416.189229410196,2448.5315200385307,786692.5,3.903694730466384,4.590565198041833,3.889521100047416
43,22,2020-03-16,-90.32304400000001,698691.8438437973,41393192.0,34012.92268455708,41393180.0,87381.09176053767,-85.0,1279491.6793018864,-422.0,21332.677499684512,2347.5108668600715,786692.5,4.695941853422168,4.245215843346685,4.076813655761025
44,23,2020-03-16,-90.094925,681540.622819957,41393832.0,33600.82052605603,41393824.0,85155.66213638456,-85.0,1263309.5694466997,-422.0,20298.65560305566,2292.3065906570287,786692.5,4.820109024833434,4.316421895861148,4.1806543385490755
45,3,2020-03-16,0.0,0.0,0.0,9.86371999228032,0.0,0.0,0.0,0.0,0.0,0.0,18.61794714285714,28.845549,0.0,0.0008900756564307966,0.003319108582266477
46,4,2020-03-16,18.0,0.0,95.768021,2.8498333683330515,52.318668,52.318668,95.768021,0.0,52.318668,95.768021,20.0151365,22.030273,0.0006056935190793458,0.0026702269692923898,0.000948316737790422
47,5,2020-03-16,20.966562,0.0,97.578629,0.7307510177358623,23.834063,23.834063,97.578629,0.0,23.834063,97.578629,21.483280999999998,22.0,0.0006056935190793458,0.0013351134846461949,0.000948316737790422
