uniqueId,endUseLabel
AHU-01 SF Air Systems Energy AHU1_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-02 SF Air Systems Energy AHU2_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-03 SF Air Systems Energy AHU3_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-04 SF Air Systems Energy AHU4_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-05 SF Air Systems Energy AHU5_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-06 SF Air Systems Energy AHU6_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-07 SF Air Systems Energy AHU7_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-08 SF Air Systems Energy AHU8_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-09 RF Air Systems Energy AHU9_RF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-09 SF Air Systems Energy AHU9_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-10 RF Air Systems Energy AHU10_RF_VFD_PWR(kWh)_TL,02_HEATING_COOLING_COMBINED
AHU-10 SF Air Systems Energy AHU10_SF_VFD_PWR(kWh)_TL,02_HEATING_COOLING_COMBINED
AHU-13 Air Systems Energy AHU13_SF_VFD_PWR(kWh)_TL,02_HEATING_COOLING_COMBINED
AHU-14 SF Air Systems Energy AHU14_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-15 SF Air Systems Energy AHU15_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-16 Air Systems Energy AHU16_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-17 SF Air Systems Energy AHU17_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-18 RF Air Systems Energy AHU18_RF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
AHU-18 SF Air Systems Energy AHU18_SF_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
CT-1A Hydronic Systems Energy CT1A_VFD_PWR(kWh),01_SPACE_COOLING
CT-1B Hydronic Systems Energy CT1B_VFD_PWR(kWh),01_SPACE_COOLING
CT-1C Hydronic Systems Energy CT1C_VFD_PWR(kWh),01_SPACE_COOLING
Cooling Plant P-5A Hydronic Systems Energy CHWP_P5A_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-5B Hydronic Systems Energy CHWP_P5B_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-5C Hydronic Systems Energy CHWP_P5C_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-7A Hydronic Systems Energy CHWP_P7A_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-7B Hydronic Systems Energy CHWP_P7B_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-9A Hydronic Systems Energy CHWP_P9A_VFD_PWR(kWh)_TL,01_SPACE_COOLING
Cooling Plant P-9B Hydronic Systems Energy CHWP_P9B_VFD_PWR(kWh)_TL,01_SPACE_COOLING
EF-22 Air Systems Energy EF_22_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
EF-27 Air Systems Energy EF_27_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Elec Submeters LEED-2N1PC3 Utilities 2N1PC3_EnergyPosSum 2N1PC3_EnergyPosSum,05_OTHER
Elec Submeters LEED-2N1PC3 Utilities 2N1PC3_EnergyPosSumNR 2N1PC3_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6DCLA Utilities 6DCLA_EnergyPosSum 6DCLA_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6DCLA Utilities 6DCLA_EnergyPosSumNR 6DCLA_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6DCMA Utilities 6DCMA_EnergyPosSum 6DCMA_EnergyPosSum,05_OTHER
Elec Submeters LEED-6DCMA Utilities 6DCMA_EnergyPosSumNR 6DCMA_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6EBLW1 Utilities 6EBLW1_EnergyPosSum 6EBLW1_EnergyPosSum,04_LIGHTING_EMERGENCY
Elec Submeters LEED-6EBLW1 Utilities 6EBLW1_EnergyPosSumNR 6EBLW1_EnergyPosSumNR,04_LIGHTING_EMERGENCY
Elec Submeters LEED-6ETLC1 Utilities 6ETLC1_EnergyPosSum 6ETLC1_EnergyPosSum,04_LIGHTING_EMERGENCY
Elec Submeters LEED-6ETLC1 Utilities 6ETLC1_EnergyPosSumNR 6ETLC1_EnergyPosSumNR,04_LIGHTING_EMERGENCY
Elec Submeters LEED-6ETLE1 Utilities 6ETLE1_EnergyPosSum 6ETLE1_EnergyPosSum,04_LIGHTING_EMERGENCY
Elec Submeters LEED-6ETLE1 Utilities 6ETLE1_EnergyPosSumNR 6ETLE1_EnergyPosSumNR,04_LIGHTING_EMERGENCY
Elec Submeters LEED-6ETLW1 Utilities 6ETLW1_EnergyPosSum 6ETLW1_EnergyPosSum,04_LIGHTING_EMERGENCY
Elec Submeters LEED-6ETLW1 Utilities 6ETLW1_EnergyPosSumNR 6ETLW1_EnergyPosSumNR,04_LIGHTING_EMERGENCY
Elec Submeters LEED-6N2LE1 Utilities 6N2LE1_EnergyPosSum 6N2LE1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6N2LE1 Utilities 6N2LE1_EnergyPosSumNR 6N2LE1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6N3LO1 Utilities 6N3LO1_EnergyPosSum 6N3LO1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6N3LO1 Utilities 6N3LO1_EnergyPosSumNR 6N3LO1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6N4LC1 Utilities 6N4LC1_EnergyPosSum 6N4LC1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6N4LC1 Utilities 6N4LC1_EnergyPosSumNR 6N4LC1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6N4LE1 Utilities 6N4LE1_EnergyPosSum 6N4LE1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6N4LE1 Utilities 6N4LE1_EnergyPosSumNR 6N4LE1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6N4LW1 Utilities 6N4LW1_EnergyPosSum 6N4LW1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6N4LW1 Utilities 6N4LW1_EnergyPosSumNR 6N4LW1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6N6LC1 Utilities 6N6LC1_EnergyPosSum 6N6LC1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6N6LC1 Utilities 6N6LC1_EnergyPosSumNR 6N6LC1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6N6LE1 Utilities 6N6LE1_EnergyPosSum 6N6LE1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6N6LE1 Utilities 6N6LE1_EnergyPosSumNR 6N6LE1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6N6LW1 Utilities 6N6LW1_EnergyPosSum 6N6LW1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6N6LW1 Utilities 6N6LW1_EnergyPosSumNR 6N6LW1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6NBLC1 Utilities 6NBLC1_EnergyPosSum 6NBLC1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6NBLC1 Utilities 6NBLC1_EnergyPosSumNR 6NBLC1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6NBLW1 Utilities 6NBLW1_EnergyPosSum 6NBLW1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-6NBLW1 Utilities 6NBLW1_EnergyPosSumNR 6NBLW1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-6NBME1 Utilities 6NBME1_EnergyPosSum 6NBME1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6NBME1 Utilities 6NBME1_EnergyPosSumNR 6NBME1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6NBMW1 Utilities 6NBMW1_EnergyPosSum 6NBMW1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6NBMW1 Utilities 6NBMW1_EnergyPosSumNR 6NBMW1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6NRMC1 Utilities 6NRMC1_EnergyPosSum 6NRMC1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6NRMC1 Utilities 6NRMC1_EnergyPosSumNR 6NRMC1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6NRME1 Utilities 6NRME1_EnergyPosSum 6NRME1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6NRME1 Utilities 6NRME1_EnergyPosSumNR 6NRME1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6NRMW1 Utilities 6NRMW1_EnergyPosSum 6NRMW1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6NRMW1 Utilities 6NRMW1_EnergyPosSumNR 6NRMW1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6SBME1 Utilities 6SBME1_EnergyPosSum 6SBME1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6SBME1 Utilities 6SBME1_EnergyPosSumNR 6SBME1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6SBMW1 Utilities 6SBMW1_EnergyPosSum 6SBMW1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6SBMW1 Utilities 6SBMW1_EnergyPosSumNR 6SBMW1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6SRMC1 Utilities 6SRMC1_EnergyPosSum 6SRMC1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6SRMC1 Utilities 6SRMC1_EnergyPosSumNR 6SRMC1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6SRME1 Utilities 6SRME1_EnergyPosSum 6SRME1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6SRME1 Utilities 6SRME1_EnergyPosSumNR 6SRME1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-6SRMW1 Utilities 6SRMW1_EnergyPosSum 6SRMW1_EnergyPosSum,05_OTHER
Elec Submeters LEED-6SRMW1 Utilities 6SRMW1_EnergyPosSumNR 6SRMW1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-CH-1 Utilities CH-1_EnergyPosSum CH-1_EnergyPosSum,01_SPACE_COOLING
Elec Submeters LEED-CH-1 Utilities CH-1_EnergyPosSumNR CH-1_EnergyPosSumNR,01_SPACE_COOLING
Elec Submeters LEED-CH-2 Utilities CH-2_EnergyPosSum CH-2_EnergyPosSum,01_SPACE_COOLING
Elec Submeters LEED-CH-2 Utilities CH-2_EnergyPosSumNR CH-2_EnergyPosSumNR,01_SPACE_COOLING
Elec Submeters LEED-CH-3 Utilities CH-3_EnergyPosSum CH-3_EnergyPosSum,01_SPACE_COOLING
Elec Submeters LEED-CH-3 Utilities CH-3_EnergyPosSumNR CH-3_EnergyPosSumNR,01_SPACE_COOLING
Elec Submeters LEED-CH-4 Utilities CH-4_EnergyPosSum CH-4_EnergyPosSum,01_SPACE_COOLING
Elec Submeters LEED-CH-4 Utilities CH-4_EnergyPosSumNR CH-4_EnergyPosSumNR,01_SPACE_COOLING
Gas Submeters BLR-1Gas Meter Utilities BLR1_GFLW_DAY BLR1_GFLW_DAY,00_HEATING_SPACE_AND_WATER
Gas Submeters BLR-2 Gas Meter Utilities BLR2_GFLW_DAY BLR2_GFLW_DAY,00_HEATING_SPACE_AND_WATER
HW Submeters FM-1 Utilities Energy FM1_BTU_EF1_2_ENERGY(kWh),00_HEATING_SPACE_AND_WATER
HW Submeters FM-10 Utilities Energy FM10_BTU_P4ABC_ENERGY(kWh),00_HEATING_SPACE_AND_WATER
HW Submeters FM-12 Utilities Energy FM12_BTU_HX7_ENERGY(kWh),00_HEATING_SPACE_AND_WATER
HW Submeters FM-2 Utilities Energy FM2_BTU_EF3_ENERGY(kWh),00_HEATING_SPACE_AND_WATER
HW Submeters FM-3 Utilities Energy MV_PHARM_FM3_BTU_EF4_ENERGY(kWh)_TL,00_HEATING_SPACE_AND_WATER
HW Submeters FM-4 Utilities Energy FM4_BTU_CT_ENERGY(kWh)_TL,00_HEATING_SPACE_AND_WATER
HW Submeters FM-6 Utilities Energy FM6_BTU_P9_CRAH1~3_ENERGY(kWh)_TL,00_HEATING_SPACE_AND_WATER
HW Submeters FM-7 Utilities Energy FM7_BTU_P7_DATA_CTR_ENERGY(kWh)_TL,00_HEATING_SPACE_AND_WATER
HW Submeters FM-8 Utilities Energy FM8_BTU_P5AB_ENERGY(kWh)_TL,00_HEATING_SPACE_AND_WATER
HW Submeters FM-9 Utilities Energy FM9_BTU_CRAH4~6_ENERGY(kWh)_TL,00_HEATING_SPACE_AND_WATER
Heating Plant BLR-1 Hydronic Systems BLR1_GFLW_FLOW BLR1_GFLW_FLOW,00_HEATING_SPACE_AND_WATER
Heating Plant BLR-2 Hydronic Systems BLR2_GFLW_FLOW BLR2_GFLW_FLOW,00_HEATING_SPACE_AND_WATER
Heating Plant BLR-3 Hydronic Systems BLR3_GFLW_FLOW BLR3_GFLW_FLOW,00_HEATING_SPACE_AND_WATER
Heating Plant BLR-4 Hydronic Systems BLR4_GFLW_FLOW BLR4_GFLW_FLOW,00_HEATING_SPACE_AND_WATER
Heating Plant HX-1 P-HX1A Hydronic Systems Energy HX1_PHX1A_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant HX-1 P-HX1B Hydronic Systems Energy HX1_PHX1B_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant HX-2 P-HX2A Hydronic Systems Energy HX2_PHX2A_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant HX-2 P-HX2B Hydronic Systems Energy HX2_PHX2B_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant HX-3 P-HX3A Hydronic Systems Energy HX3_PHX3A_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant HX-3 P-HX3B Hydronic Systems Energy HX3_PHX3B_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant P-4A Hydronic Systems Energy HTREJ_P4A_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant P-4B Hydronic Systems Energy HTREJ_P4B_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant P-4C Hydronic Systems Energy HTREJ_P4C_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant P-8A Hydronic Systems Energy HTREJ_P8A_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
Heating Plant P-8B Hydronic Systems Energy HTREJ_P8B_VFD_PWR(kWh),00_HEATING_SPACE_AND_WATER
LEF-1 EF-1A Air Systems Energy EF1_F1_VFD_PWR(kWh),05_OTHER
LEF-1 EF-1B Air Systems Energy EF1_F2_VFD_PWR(kWh),05_OTHER
LEF-1 EF-1C Air Systems Energy EF1_F3_VFD_PWR(kWh),05_OTHER
LEF-2 EF-2A Air Systems Energy EF2_F1_VFD_PWR(kWh),05_OTHER
LEF-2 EF-2B Air Systems Energy EF2_F2_VFD_PWR(kWh),05_OTHER
LEF-2 EF-2C Air Systems Energy EF2_F3_VFD_PWR(kWh),05_OTHER
LEF-3 EF-3A Air Systems Energy EF3_F1_VFD_PWR(kWh),05_OTHER
LEF-3 EF-3B Air Systems Energy EF3_F2_VFD_PWR(kWh),05_OTHER
LEF-3 EF-3C Air Systems Energy EF3_F3_VFD_PWR(kWh),05_OTHER
LEF-4 EF-4A Air Systems Energy EF4_F1_VFD_PWR(kWh)_TL,05_OTHER
LEF-4 EF-4B Air Systems Energy EF4_F2_VFD_PWR(kWh)_TL,05_OTHER
Rm 4202 EF-26 Floor 4 Energy EF_26_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm 4202A EF-25 Floor 4 Energy EF_25_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm 4312A EF-32 Floor 4 Energy EF_32_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm 4312B EF-28 Floor 4 Energy EF_28_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm 5206B EF-23 Floor 5 Energy EF_23_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm 5206C EF-24 Floor 4 Energy EF_24_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm 6102 EF-07 Floor 6 Energy EF_07_VFD_PWR(kWh)_TL,02_HEATING_COOLING_COMBINED
Rm 6102 EF-08 Floor 6 Energy EF_08_VFD_PWR(kWh)_TL,02_HEATING_COOLING_COMBINED
Rm 6203G EF-13 Floor 6 Energy EF_13_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm 6206B EF-11 Floor 6 Energy EF_11_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm 6206D EF-12 Floor 6 Energy EF_12_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm B409B EF-33 Floor 0 Energy EF_33_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm B503 EF-34 Floor 0 Energy EF_34_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Rm B605 EF-35 Floor 0 Energy EF_35_VFD_PWR(kWh),02_HEATING_COOLING_COMBINED
Elec Submeters DCA Utilities Energy OPC Energy OPC,00_HEATING_SPACE_AND_WATER
Elec Submeters DCB Utilities Energy OPC Copy Energy OPC Copy,00_HEATING_SPACE_AND_WATER
Elec Submeters LEED-ATS-DCA Utilities ATS-DCA_EnergyPosSum ATS-DCA_EnergyPosSum,01_SPACE_COOLING
Elec Submeters LEED-ATS-DCA Utilities ATS-DCA_EnergyPosSumNR ATS-DCA_EnergyPosSumNR,01_SPACE_COOLING
Elec Submeters LEED-ATS-DCB Utilities ATS-DCB_EnergyPosSum ATS-DCB_EnergyPosSum,01_SPACE_COOLING
Elec Submeters LEED-ATS-DCB Utilities ATS-DCB_EnergyPosSumNR ATS-DCB_EnergyPosSumNR,01_SPACE_COOLING
Elec Submeters LEED-ATS-S1 Utilities ATS-S1_EnergyPosSum ATS-S1_EnergyPosSum,05_OTHER
Elec Submeters LEED-ATS-S1 Utilities ATS-S1_EnergyPosSumNR ATS-S1_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-ATS-S3 Utilities ATS-S3_EnergyPosSum ATS-S3_EnergyPosSum,05_OTHER
Elec Submeters LEED-ATS-S3 Utilities ATS-S3_EnergyPosSumNR ATS-S3_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-G1 Utilities G1_EnergyPosSum G1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-G1 Utilities G1_EnergyPosSumNR G1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-LV-DCA Utilities LV-DCA_EnergyPosSum LV-DCA_EnergyPosSum,01_SPACE_COOLING
Elec Submeters LEED-LV-DCA Utilities LV-DCA_EnergyPosSumNR LV-DCA_EnergyPosSumNR,01_SPACE_COOLING
Elec Submeters LEED-LV-DCB Utilities LV-DCB_EnergyPosSum LV-DCB_EnergyPosSum,01_SPACE_COOLING
Elec Submeters LEED-LV-DCB Utilities LV-DCB_EnergyPosSumNR LV-DCB_EnergyPosSumNR,01_SPACE_COOLING
Elec Submeters LEED-LV-PA Utilities LV-PA_EnergyPosSum LV-PA_EnergyPosSum,05_OTHER
Elec Submeters LEED-LV-PA Utilities LV-PA_EnergyPosSumNR LV-PA_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-LV-PB Utilities LV-PB_EnergyPosSum LV-PB_EnergyPosSum,05_OTHER
Elec Submeters LEED-LV-PB Utilities LV-PB_EnergyPosSumNR LV-PB_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-S2 Utilities S2_EnergyPosSum S2_EnergyPosSum,05_OTHER
Elec Submeters LEED-S2 Utilities S2_EnergyPosSumNR S2_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-TBIRD_PARK_E1 Utilities TBIRD_PARK_E1_EnergyPosSum TBIRD_PARK_E1_EnergyPosSum,04_LIGHTING_EMERGENCY
Elec Submeters LEED-TBIRD_PARK_E1 Utilities TBIRD_PARK_E1_EnergyPosSumNR TBIRD_PARK_E1_EnergyPosSumNR,04_LIGHTING_EMERGENCY
Elec Submeters LEED-TBIRD_PARK_LV-PB Utilities TBIRD_PARK_LV-PB_EnergyPosSum TBIRD_PARK_LV-PB_EnergyPosSum,05_OTHER
Elec Submeters LEED-TBIRD_PARK_LV-PB Utilities TBIRD_PARK_LV-PB_EnergyPosSumNR TBIRD_PARK_LV-PB_EnergyPosSumNR,05_OTHER
Elec Submeters LEED-TBIRD_PARK_S2 Utilities TBIRD_PARK_S2_EnergyPosSum TBIRD_PARK_S2_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-TBIRD_PARK_S2 Utilities TBIRD_PARK_S2_EnergyPosSumNR TBIRD_PARK_S2_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters LEED-TX-E1C1 Utilities TX-E1C1_EnergyPosSum TX-E1C1_EnergyPosSum,03_LIGHTING_NORMAL
Elec Submeters LEED-TX-E1C1 Utilities TX-E1C1_EnergyPosSumNR TX-E1C1_EnergyPosSumNR,03_LIGHTING_NORMAL
Elec Submeters PA Utilities Energy OPC Energy OPC,00_HEATING_SPACE_AND_WATER
Elec Submeters PB Utilities Energy OPC Energy OPC,00_HEATING_SPACE_AND_WATER
Cooling Plant CT-1A Hydronic Systems Energy CT1A_VFD_PWR(kWh),03_LIGHTING_NORMAL
Cooling Plant CT-1B Hydronic Systems Energy CT1B_VFD_PWR(kWh),03_LIGHTING_NORMAL
Cooling Plant CT-1C Hydronic Systems Energy CT1C_VFD_PWR(kWh),03_LIGHTING_NORMAL
