,uniqueId,max,min,mean,std,update_rate
0,AHU-01 SF Air Systems Energy AHU1_SF_VFD_PWR(kWh),7451.669506527559,7385.707108456692,7418.680921661418,19.39108011364913,1.7638888888888888
1,AHU-02 SF Air Systems Energy AHU2_SF_VFD_PWR(kWh),6511.9136090393695,6444.8048647401565,6478.359203944882,19.72213187525565,1.7638888888888888
2,AHU-03 SF Air Systems Energy AHU3_SF_VFD_PWR(kWh),29755.819789803147,29573.80785571653,29664.69331322833,53.59503601608753,1.7638888888888888
3,AHU-04 SF Air Systems Energy AHU4_SF_VFD_PWR(kWh),29587.241311149606,29407.896761165353,29497.46207555118,52.832359755328945,1.7638888888888888
4,AHU-05 SF Air Systems Energy AHU5_SF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,1.7638888888888888
5,AHU-06 SF Air Systems Energy AHU6_SF_VFD_PWR(kWh),2243.461846464567,2232.967217590551,2238.237102771654,3.211434212532744,1.7638888888888888
6,AHU-07 SF Air Systems Energy AHU7_SF_VFD_PWR(kWh),1883.979359582677,1876.6146943858266,1880.2792479448804,2.231174571840138,1.7638888888888888
7,AHU-08 SF Air Systems Energy AHU8_SF_VFD_PWR(kWh),2717.0707236299213,2708.625990440945,2712.256232519688,2.6993991725148727,1.7638888888888888
8,AHU-09 RF Air Systems Energy AHU9_RF_VFD_PWR(kWh),2924.856049062992,2913.5015896771656,2918.129498173229,3.8775441376343847,1.7638888888888888
9,AHU-09 SF Air Systems Energy AHU9_SF_VFD_PWR(kWh),9682.253145149607,9644.122562291339,9660.119571070874,13.111643893300824,1.7638888888888888
10,AHU-10 RF Air Systems Energy AHU10_RF_VFD_PWR(kWh)_TL,0.0,0.0,0.0,0.0,1.3194444444444444
11,AHU-10 SF Air Systems Energy AHU10_SF_VFD_PWR(kWh)_TL,5296.902832,5295.212402,5295.524398368414,0.6447770797009619,1.3194444444444444
12,AHU-13 Air Systems Energy AHU13_SF_VFD_PWR(kWh)_TL,15698.245117,15586.857421999997,15642.551706421054,32.66690575194839,1.3194444444444444
13,AHU-14 SF Air Systems Energy AHU14_SF_VFD_PWR(kWh),10687.86103338889,10611.153157476192,10649.30100211905,22.03473078534877,1.75
14,AHU-15 SF Air Systems Energy AHU15_SF_VFD_PWR(kWh),50189.457154880954,49812.002200952375,50001.451109865084,110.50084769326864,1.75
15,AHU-16 Air Systems Energy AHU16_SF_VFD_PWR(kWh),56812.90625,56355.63281200001,56584.26949008421,134.1062218496768,1.3194444444444444
16,AHU-17 SF Air Systems Energy AHU17_SF_VFD_PWR(kWh),6460.820711753968,6413.089991277778,6436.955632269843,14.042319794833046,1.75
17,AHU-18 RF Air Systems Energy AHU18_RF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,1.75
18,AHU-18 SF Air Systems Energy AHU18_SF_VFD_PWR(kWh),0.0,0.0,0.0,0.0,1.75
19,CT-1A Hydronic Systems Energy CT1A_VFD_PWR(kWh),367.374695,334.771759,349.2995724210526,7.079928392751503,1.3194444444444444
20,CT-1B Hydronic Systems Energy CT1B_VFD_PWR(kWh),282.728699,280.966064,281.29477255789493,0.37187892601736083,1.3194444444444444
21,CT-1C Hydronic Systems Energy CT1C_VFD_PWR(kWh),276.630859,276.395874,276.51337758947363,0.06891747249720508,1.3194444444444444
22,Cooling Plant P-5A Hydronic Systems Energy CHWP_P5A_VFD_PWR(kWh)_TL,15327.198242,15144.174805,15235.44345194737,53.8634910734625,1.3194444444444444
23,Cooling Plant P-5B Hydronic Systems Energy CHWP_P5B_VFD_PWR(kWh)_TL,17110.658203,17110.658203,17110.658202999974,0.0,1.3194444444444444
24,Cooling Plant P-5C Hydronic Systems Energy CHWP_P5C_VFD_PWR(kWh)_TL,14069.55957,13900.186523000002,13984.320692842104,49.73243748766523,1.3194444444444444
25,Cooling Plant P-7A Hydronic Systems Energy CHWP_P7A_VFD_PWR(kWh)_TL,20731.476562,20388.908203,20560.17641857894,100.46723691129189,1.3194444444444444
26,Cooling Plant P-7B Hydronic Systems Energy CHWP_P7B_VFD_PWR(kWh)_TL,21783.837891,21783.837891,21783.837891000036,0.0,1.3194444444444444
27,Cooling Plant P-9A Hydronic Systems Energy CHWP_P9A_VFD_PWR(kWh)_TL,2390.639893,2390.639893,2390.639893000006,0.0,1.3194444444444444
28,Cooling Plant P-9B Hydronic Systems Energy CHWP_P9B_VFD_PWR(kWh)_TL,2207.130127,2162.042969,2183.655710273684,13.630072366513136,1.3194444444444444
29,EF-22 Air Systems Energy EF_22_VFD_PWR(kWh),792.4386357165354,786.579360480315,789.5090283937005,1.7238474066007834,1.7638888888888888
30,EF-27 Air Systems Energy EF_27_VFD_PWR(kWh),875.841187,868.7917479999999,872.3164942631579,2.0674116416155077,1.3194444444444444
31,Elec Submeters DCA Utilities Energy OPC Energy OPC,1969.0,60.12,125.88,348.5828731915419,1.7361111111111112
32,Elec Submeters DCB Utilities Energy OPC Copy Energy OPC Copy,1798.15,49.6,110.778,318.882879987085,1.7361111111111112
33,Elec Submeters LEED-2N1PC3 Utilities 2N1PC3_EnergyPosSum 2N1PC3_EnergyPosSum,127539.828125,127539.828125,127539.828125,0.0,0.6666666666666666
34,Elec Submeters LEED-2N1PC3 Utilities 2N1PC3_EnergyPosSumNR 2N1PC3_EnergyPosSumNR,127585.5625,127585.5625,127585.5625,0.0,0.6666666666666666
35,Elec Submeters LEED-6DCLA Utilities 6DCLA_EnergyPosSum 6DCLA_EnergyPosSum,26966.316406,26957.150391,26958.455566666642,2.6370634105541986,0.6666666666666666
36,Elec Submeters LEED-6DCLA Utilities 6DCLA_EnergyPosSumNR 6DCLA_EnergyPosSumNR,26966.316406,26957.150391,26958.454345937473,2.636207580000782,0.6666666666666666
37,Elec Submeters LEED-6DCMA Utilities 6DCMA_EnergyPosSum 6DCMA_EnergyPosSum,263860.8125,263773.1875,263817.03125,26.087302124149385,0.6666666666666666
38,Elec Submeters LEED-6DCMA Utilities 6DCMA_EnergyPosSumNR 6DCMA_EnergyPosSumNR,263860.8125,263773.28125,263817.0520833333,26.092764850548196,0.6666666666666666
39,Elec Submeters LEED-6EBLW1 Utilities 6EBLW1_EnergyPosSum 6EBLW1_EnergyPosSum,575862.375,575639.6875,575750.5989583334,66.69322186917907,0.6666666666666666
40,Elec Submeters LEED-6EBLW1 Utilities 6EBLW1_EnergyPosSumNR 6EBLW1_EnergyPosSumNR,575862.25,575639.6875,575750.5572916666,66.69162923329066,0.6666666666666666
41,Elec Submeters LEED-6ETLC1 Utilities 6ETLC1_EnergyPosSum 6ETLC1_EnergyPosSum,897334.5,897036.3125,897185.4544270834,88.80213364237734,0.6666666666666666
42,Elec Submeters LEED-6ETLC1 Utilities 6ETLC1_EnergyPosSumNR 6ETLC1_EnergyPosSumNR,897334.5,897036.5,897185.5677083334,88.81975816440529,0.6666666666666666
43,Elec Submeters LEED-6ETLE1 Utilities 6ETLE1_EnergyPosSum 6ETLE1_EnergyPosSum,1741882.75,1741309.625,1741597.2395833333,170.85561987048212,0.6666666666666666
44,Elec Submeters LEED-6ETLE1 Utilities 6ETLE1_EnergyPosSumNR 6ETLE1_EnergyPosSumNR,1741882.75,1741309.625,1741597.3958333333,170.79580888665842,0.6666666666666666
45,Elec Submeters LEED-6ETLW1 Utilities 6ETLW1_EnergyPosSum 6ETLW1_EnergyPosSum,414126.1875,413979.9375,414053.07421875,43.57515147236325,0.6666666666666666
46,Elec Submeters LEED-6ETLW1 Utilities 6ETLW1_EnergyPosSumNR 6ETLW1_EnergyPosSumNR,414126.03125,413979.78125,414052.875,43.56888422797445,0.6666666666666666
47,Elec Submeters LEED-6N2LE1 Utilities 6N2LE1_EnergyPosSum 6N2LE1_EnergyPosSum,229105.296875,229036.046875,229064.39388020834,19.183104040190504,0.6666666666666666
48,Elec Submeters LEED-6N2LE1 Utilities 6N2LE1_EnergyPosSumNR 6N2LE1_EnergyPosSumNR,229105.375,229036.125,229064.43880208334,19.197489438611637,0.6666666666666666
49,Elec Submeters LEED-6N3LO1 Utilities 6N3LO1_EnergyPosSum 6N3LO1_EnergyPosSum,68847.242188,68840.585938,68844.32763666665,2.08191244520967,0.6666666666666666
50,Elec Submeters LEED-6N3LO1 Utilities 6N3LO1_EnergyPosSumNR 6N3LO1_EnergyPosSumNR,68847.242188,68840.578125,68844.31738285418,2.0829665121998264,0.6666666666666666
51,Elec Submeters LEED-6N4LC1 Utilities 6N4LC1_EnergyPosSum 6N4LC1_EnergyPosSum,124812.976562,124812.976562,124812.9765619999,0.0,0.6666666666666666
52,Elec Submeters LEED-6N4LC1 Utilities 6N4LC1_EnergyPosSumNR 6N4LC1_EnergyPosSumNR,124812.976562,124812.976562,124812.9765619999,0.0,0.6666666666666666
53,Elec Submeters LEED-6N4LE1 Utilities 6N4LE1_EnergyPosSum 6N4LE1_EnergyPosSum,254799.375,254711.53125,254747.77604166666,24.675928419685704,0.6666666666666666
54,Elec Submeters LEED-6N4LE1 Utilities 6N4LE1_EnergyPosSumNR 6N4LE1_EnergyPosSumNR,254799.375,254711.53125,254747.78092447916,24.677053592393325,0.6666666666666666
55,Elec Submeters LEED-6N4LW1 Utilities 6N4LW1_EnergyPosSum 6N4LW1_EnergyPosSum,59165.832031,59165.832031,59165.83203099995,0.0,0.6666666666666666
56,Elec Submeters LEED-6N4LW1 Utilities 6N4LW1_EnergyPosSumNR 6N4LW1_EnergyPosSumNR,79064.40625,79064.40625,79064.40625,0.0,0.6666666666666666
57,Elec Submeters LEED-6N6LC1 Utilities 6N6LC1_EnergyPosSum 6N6LC1_EnergyPosSum,309.076019,309.076019,309.07601900000003,0.0,0.6666666666666666
58,Elec Submeters LEED-6N6LC1 Utilities 6N6LC1_EnergyPosSumNR 6N6LC1_EnergyPosSumNR,309.075958,309.075958,309.07595799999984,0.0,0.6666666666666666
59,Elec Submeters LEED-6N6LE1 Utilities 6N6LE1_EnergyPosSum 6N6LE1_EnergyPosSum,302412.0625,302290.5625,302345.7916666667,32.33068193285781,0.6666666666666666
60,Elec Submeters LEED-6N6LE1 Utilities 6N6LE1_EnergyPosSumNR 6N6LE1_EnergyPosSumNR,302412.28125,302290.75,302345.927734375,32.35412623689664,0.6666666666666666
61,Elec Submeters LEED-6N6LW1 Utilities 6N6LW1_EnergyPosSum 6N6LW1_EnergyPosSum,3829.908936,3829.908936,3829.9089359999957,0.0,0.6666666666666666
62,Elec Submeters LEED-6N6LW1 Utilities 6N6LW1_EnergyPosSumNR 6N6LW1_EnergyPosSumNR,3829.905762,3829.905762,3829.905762000001,0.0,0.6666666666666666
63,Elec Submeters LEED-6NBLC1 Utilities 6NBLC1_EnergyPosSum 6NBLC1_EnergyPosSum,266562.0625,266562.0625,266562.0625,0.0,0.6666666666666666
64,Elec Submeters LEED-6NBLC1 Utilities 6NBLC1_EnergyPosSumNR 6NBLC1_EnergyPosSumNR,266574.59375,266574.59375,266574.59375,0.0,0.6666666666666666
65,Elec Submeters LEED-6NBLW1 Utilities 6NBLW1_EnergyPosSum 6NBLW1_EnergyPosSum,88909.617188,88884.734375,88900.44205733335,8.026123902609653,0.6666666666666666
66,Elec Submeters LEED-6NBLW1 Utilities 6NBLW1_EnergyPosSumNR 6NBLW1_EnergyPosSumNR,88909.617188,88884.757812,88900.44645183334,8.023254584693806,0.6666666666666666
67,Elec Submeters LEED-6NBME1 Utilities 6NBME1_EnergyPosSum 6NBME1_EnergyPosSum,1358742.75,1358673.125,1358695.9765625,25.365252769075948,0.6666666666666666
68,Elec Submeters LEED-6NBME1 Utilities 6NBME1_EnergyPosSumNR 6NBME1_EnergyPosSumNR,1358742.75,1358673.125,1358696.0182291667,25.39616936861462,0.6666666666666666
69,Elec Submeters LEED-6NBMW1 Utilities 6NBMW1_EnergyPosSum 6NBMW1_EnergyPosSum,4506897.0,4505476.0,4506181.635416667,416.0649210233749,0.6666666666666666
70,Elec Submeters LEED-6NBMW1 Utilities 6NBMW1_EnergyPosSumNR 6NBMW1_EnergyPosSumNR,4506897.0,4505476.0,4506181.708333333,416.032589165234,0.6666666666666666
71,Elec Submeters LEED-6NRMC1 Utilities 6NRMC1_EnergyPosSum 6NRMC1_EnergyPosSum,2881004.5,2879863.5,2880434.5833333335,343.1104023885135,0.6666666666666666
72,Elec Submeters LEED-6NRMC1 Utilities 6NRMC1_EnergyPosSumNR 6NRMC1_EnergyPosSumNR,2881005.5,2879864.75,2880435.953125,343.11682946238096,0.6666666666666666
73,Elec Submeters LEED-6NRME1 Utilities 6NRME1_EnergyPosSum 6NRME1_EnergyPosSum,4069656.0,4068718.5,4069180.8854166665,276.1450578489393,0.6666666666666666
74,Elec Submeters LEED-6NRME1 Utilities 6NRME1_EnergyPosSumNR 6NRME1_EnergyPosSumNR,4069656.0,4068718.75,4069181.078125,276.1141172320442,0.6666666666666666
75,Elec Submeters LEED-6NRMW1 Utilities 6NRMW1_EnergyPosSum 6NRMW1_EnergyPosSum,750877.625,750705.5,750790.8046875,51.22403114942805,0.6666666666666666
76,Elec Submeters LEED-6NRMW1 Utilities 6NRMW1_EnergyPosSumNR 6NRMW1_EnergyPosSumNR,750877.5,750705.5,750790.7486979166,51.231274941890284,0.6666666666666666
77,Elec Submeters LEED-6SBME1 Utilities 6SBME1_EnergyPosSum 6SBME1_EnergyPosSum,1889647.375,1888999.25,1889321.546875,193.46052951307811,0.6666666666666666
78,Elec Submeters LEED-6SBME1 Utilities 6SBME1_EnergyPosSumNR 6SBME1_EnergyPosSumNR,1889647.25,1888999.25,1889321.5286458333,193.45350896975165,0.6666666666666666
79,Elec Submeters LEED-6SBMW1 Utilities 6SBMW1_EnergyPosSum 6SBMW1_EnergyPosSum,11486620.0,11481192.0,11483887.145833334,1595.3518519328143,0.6666666666666666
80,Elec Submeters LEED-6SBMW1 Utilities 6SBMW1_EnergyPosSumNR 6SBMW1_EnergyPosSumNR,11486620.0,11481192.0,11483887.145833334,1595.329646313902,0.6666666666666666
81,Elec Submeters LEED-6SRMC1 Utilities 6SRMC1_EnergyPosSum 6SRMC1_EnergyPosSum,5106261.0,5104963.5,5105608.34375,381.93995512499947,0.6666666666666666
82,Elec Submeters LEED-6SRMC1 Utilities 6SRMC1_EnergyPosSumNR 6SRMC1_EnergyPosSumNR,5106261.0,5104963.5,5105608.375,381.9781449123691,0.6666666666666666
83,Elec Submeters LEED-6SRME1 Utilities 6SRME1_EnergyPosSum 6SRME1_EnergyPosSum,5106545.0,5105027.0,5105783.791666667,447.3311500453422,0.6666666666666666
84,Elec Submeters LEED-6SRME1 Utilities 6SRME1_EnergyPosSumNR 6SRME1_EnergyPosSumNR,5106545.0,5105027.0,5105783.802083333,447.3171412874064,0.6666666666666666
85,Elec Submeters LEED-6SRMW1 Utilities 6SRMW1_EnergyPosSum 6SRMW1_EnergyPosSum,1792955.375,1792564.375,1792759.6848958333,116.25219910317958,0.6666666666666666
86,Elec Submeters LEED-6SRMW1 Utilities 6SRMW1_EnergyPosSumNR 6SRMW1_EnergyPosSumNR,1792955.375,1792564.375,1792759.8307291667,116.24513399065047,0.6666666666666666
87,Elec Submeters LEED-ATS-DCA Utilities ATS-DCA_EnergyPosSum ATS-DCA_EnergyPosSum,7795787.0,7789964.0,7792869.645833333,1733.5317748604768,0.6666666666666666
88,Elec Submeters LEED-ATS-DCA Utilities ATS-DCA_EnergyPosSumNR ATS-DCA_EnergyPosSumNR,7795784.0,7789960.0,7792866.895833333,1733.6041750429715,0.6666666666666666
