id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,curStatus,disMacro,discharge,effective,enable,entering,enum,equipName,equipRef,fan,groupRef,his,hisConvert,hisEnd,hisErr,hisSize,hisStart,hisStatus,hot,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,occ,outside,point,pump,run,scheduleOcc,scheduled,sensor,siteRef,sp,tagTableRef,tags,temp,tlName,tz,unit,water,zachName,mod
@p:ubcv:r:23d50f76-103f63c0 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-07.DA-T,✓,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000044,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.DA-T,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68076,2019-01-18T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.008-07:00 Los_Angeles,"","",Discharge Air Temp,"",AI3000019,"","",✓,"","","","",✓,@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"",@p:ubcv:r:23e65d3d-72a583d5 .+(\.|-| |_)(D|S)A\d?-T,"",✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.DA-T.Trend1,Los_Angeles,°C,"",MUA-01.DA-T,2020-04-09T19:01:58.621Z UTC
@p:ubcv:r:23d50f76-ee412c1f Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-07.PH-O (NV),"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000050,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.PH-O (NV),"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68076,2019-01-18T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.016-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-07.PH-O (NV),✓,AV3000025,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-07.PH-O (NV).Trend1,Los_Angeles,%,"",MUA-01.PH-O (NV),2020-04-09T19:01:58.622Z UTC
@p:ubcv:r:23d50f77-12ce1417 Acadia Park HR Unsorted Points P12 JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P12-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000523,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P12-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $equipName $bmsName,"","","","","Off,On",P12,@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T13:57:13-07:00 Los_Angeles,"",58849,2019-01-18T05:18:48-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:21.195-07:00 Los_Angeles,"","",Run Status,"",BI3000079,"","",✓,✓,✓,"","",✓,@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.P12-S.Trend1,Los_Angeles,"","",P12-S,2020-05-12T11:03:27.836Z UTC
@p:ubcv:r:23d50f76-31277737 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.ZN1DP-SP,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000496,✓,JCL-NAE10/FCB.Local Application.ZN1DP-SP,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:06-08:00 Los_Angeles,"",10,2019-05-31T14:36:13-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:13.501-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.ZN1DP-SP,✓,AV3000171,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.ZN1DP-SP.Trend1,Los_Angeles,kPa,"",ZN1DP-SP,2020-04-09T19:01:58.623Z UTC
@p:ubcv:r:23d50f76-50373854 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.BP1-O,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000482,✓,JCL-NAE10/FCB.Local Application.BP1-O,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",69220,2019-01-16T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.023-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.BP1-O,✓,AO3000206,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.BP1-O.Trend1,Los_Angeles,%,"",BP1-O,2020-04-09T19:01:58.624Z UTC
@p:ubcv:r:23d50f76-fce5316a Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.SHWP7-O,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000487,✓,JCL-NAE10/FCB.Local Application.SHWP7-O,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",69220,2019-01-16T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.031-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.SHWP7-O,✓,AO3000208,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.SHWP7-O.Trend1,Los_Angeles,%,"",SHWP7-O,2020-04-09T19:01:58.625Z UTC
@p:ubcv:r:24edab6a-54685620 Acadia Park HR Unsorted Points JCL-NAE10/Schedule.Summer Period,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),SCH3000786,"",✓,JCL-NAE10/Schedule.Summer Period,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),unknown,$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2019-08-21T08:45:00-07:00 Los_Angeles,"",198,2019-08-19T12:10:00-07:00 Los_Angeles,"","",✓,Number,"","","",Scheduled Occupancy,"","","","",✓,"","",✓,"","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","","",Los_Angeles,°C,"","",2020-03-12T18:51:41.044Z UTC
@p:ubcv:r:23d50f76-6fb3b4a2 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-07.HWF-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000046,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.HWF-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","NoFlow,Flow","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:07-08:00 Los_Angeles,"",11,2019-01-25T12:01:56-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.564-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-07.HWF-S,✓,BI3000022,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-07.HWF-S.Trend1,Los_Angeles,"","",MUA-01.HWF-S,2020-04-08T18:52:36.998Z UTC
@p:ubcv:r:24ccc7ca-c891e895 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-07.Parameters.0002 MUA-01 DAT-EFFSP,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000913,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.Parameters.0002 MUA-01 DAT-EFFSP,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",27593,2019-07-25T01:15:00-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:20.881-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-07.Parameters.0002 MUA-01 DAT-EFFSP,✓,AV3000903,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-07.Parameters.0002 MUA-01 DAT-EFFSP.Trend1,Los_Angeles,°C,"",0002.MUA-01.DAT-EFFSP,2020-04-09T19:01:58.626Z UTC
@p:ubcv:r:23d50f76-aec7b36d Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.BP1-C,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000460,✓,JCL-NAE10/FCB.Local Application.BP1-C,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:05-08:00 Los_Angeles,"",6336,2019-03-18T14:34:52-07:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.359-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.BP1-C,✓,BO3000128,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","","",Los_Angeles,"","","",2020-04-08T18:55:37.934Z UTC
@p:ubcv:r:23d50f76-484d46fc Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-07.LT-A,"",✓,@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000049,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.LT-A,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Normal,Alarm","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-01-11T16:55:07-08:00 Los_Angeles,"",11,2019-01-25T12:01:56-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.571-07:00 Los_Angeles,"",✓,Low Temp Alarm,"",BI3000024,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"",@p:ubcv:r:24f02881-3b6e10f7 .+(\.|-| |_)LT-A(LM)?,"",✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-07.LT-A.Trend1,Los_Angeles,"","",MUA-01.LT-A,2020-04-08T18:52:35.234Z UTC
@p:ubcv:r:23d50f76-a31e92d7 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.SHWP5-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000477,✓,JCL-NAE10/FCB.Local Application.SHWP5-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-11T20:31:01-07:00 Los_Angeles,"",95,2019-03-19T16:30:12-07:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.718-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.SHWP5-S,✓,BI3000113,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.SHWP5-S.Trend1,Los_Angeles,"","",SHWP5-S,2020-04-08T18:55:36.754Z UTC
@p:ubcv:r:23d50f76-f999f272 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-05.SPHL-A,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000517,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-05.SPHL-A,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Normal,Alarm","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-02-25T18:39:29-08:00 Los_Angeles,"",29,2019-05-31T14:36:14-07:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.688-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.SPHL-A,✓,BI3000089,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.SPHL-A.Trend1,Los_Angeles,"","",SPHL-A,2020-04-08T18:55:26.18Z UTC
@p:ubcv:r:23d50f76-dfa0c113 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-06.EA-DSP Set Point,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000073,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-06.EA-DSP Set Point,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68076,2019-01-18T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.038-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-06.EA-DSP Set Point,✓,AV3000041,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-06.EA-DSP Set Point.Trend1,Los_Angeles,Pa,"",EF Systems.EA-DSP Set Point,2020-04-09T19:01:58.627Z UTC
@p:ubcv:r:23d50f02-2729f3b5 Acadia Park HR Unsorted Points JCL-NAE10/Memory Usage Trend Log,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000005,✓,JCL-NAE10/Memory Usage Trend Log,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T00:00:00-07:00 Los_Angeles,"",289,2019-07-29T00:00:00-07:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:13.778-07:00 Los_Angeles,"","",JCL-NAE10/Memory Usage Trend Log,✓,"","","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","",✓,"","",Los_Angeles,_,"","",2020-04-09T19:15:03.606Z UTC
@p:ubcv:r:23d50fcb-3cdfa29f Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.Bypass DP Setpoint,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000781,✓,JCL-NAE10/FCB.Local Application.Bypass DP Setpoint,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68668,2019-01-17T14:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.047-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.Bypass DP Setpoint,✓,AV3000774,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.Bypass DP Setpoint.Trend1,Los_Angeles,kPa,"",Bypass DP Setpoint,2020-04-09T19:01:58.629Z UTC
@p:ubcv:r:23d50f76-87daf670 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.BLR-HT-CALL,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000507,✓,JCL-NAE10/FCB.Local Application.BLR-HT-CALL,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","False,True","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T13:56:59-07:00 Los_Angeles,"",7882,2019-03-18T14:32:47-07:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:13.745-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.BLR-HT-CALL,✓,BV3000401,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.BLR-HT-CALL.Trend1,Los_Angeles,"","",BLR-HT-CALL,2020-04-08T18:55:25.827Z UTC
@p:ubcv:r:23d50f76-6167157d Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10---FEC-07.DAT-SP,✓,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000051,✓,JCL-NAE10/FCB.JCL-NAE10---FEC-07.DAT-SP,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2019-03-05T09:30:00-08:00 Los_Angeles,"bacnet::ConfirmedServiceErr: [14] svc=READ_RANGE cls=OBJECT code=UNKNOWN_OBJECT ",6636,2019-01-18T06:40:00-08:00 Los_Angeles,fault,"",✓,Number,2020-05-12T12:37:47.634-07:00 Los_Angeles,"","",Discharge Air Temp Sp,"",AV3000026,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,✓,@p:ubcv:r:23e65d3d-3f81ae2b .+(\.|-| )DAT-SP,"",✓,"",Los_Angeles,°C,"","",2020-04-14T16:50:00.762Z UTC
@p:ubcv:r:23d50f77-e7551e98 Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT2-S,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000528,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT2-S,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T13:56:59-07:00 Los_Angeles,"",25546,2019-01-15T22:28:46-08:00 Los_Angeles,ok,"",✓,Bool,2020-05-12T14:00:20.851-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT2-S,✓,BI3000086,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-05.DHWT2-S.Trend1,Los_Angeles,"","",DHWT2-S,2020-04-08T18:55:25.037Z UTC
@p:ubcv:r:23d50f76-ad5d93eb Acadia Park HR Unsorted Points JCL-NAE10/FCB.JCL-NAE10 - FEC-06.EAD-P,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000071,✓,JCL-NAE10/FCB.JCL-NAE10 - FEC-06.EAD-P,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68076,2019-01-18T06:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.055-07:00 Los_Angeles,"","",JCL-NAE10/FCB.JCL-NAE10 - FEC-06.EAD-P,✓,AI3000037,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.JCL-NAE10 - FEC-06.EAD-P.Trend1,Los_Angeles,Pa,"",EF Systems.EAD-P,2020-04-09T19:01:58.631Z UTC
@p:ubcv:r:23d50fcb-e6863125 Acadia Park HR Unsorted Points JCL-NAE10/FCB.Local Application.ZN2 SP,"","",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",TL3000784,✓,JCL-NAE10/FCB.Local Application.ZN2 SP,"",@p:ubcv:r:21e6b134-33901f0e APHR (NAE-10),"",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23d50ee7-2481e2c8 Acadia Park HR Unsorted Points,"",@p:ubcv:r:23d50ee7-2ee15173 Acadia Park HR Unsorted Points,✓,"",2020-05-12T14:00:00-07:00 Los_Angeles,"",68668,2019-01-17T14:40:00-08:00 Los_Angeles,ok,"",✓,Number,2020-05-12T14:00:21.063-07:00 Los_Angeles,"","",JCL-NAE10/FCB.Local Application.ZN2 SP,✓,AV3000777,"","",✓,"","","","","",@p:ubcv:r:23d509e0-23febac6 Acadia Park HR,"","","","",JCL-NAE10/FCB.Local Application.ZN2 SP.Trend1,Los_Angeles,°C,"",ZN2 SP,2020-04-09T19:01:58.632Z UTC
