id,connRef,delta,deltaTempPoint,disMacro,elec,energy,equipRef,groupRef,his,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,navName,point,pointType,quantityID,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,sqlSource,submeterAdd,temp,tz,unit,utilityPoint,volume,water,mod
@p:ubcv:r:237883f7-bd1f3a83 Totem Park Res - Kwakiutl/Shuswap Elec Main Meter Energy,"","","",$equipRef $navName,✓,✓,@p:ubcv:r:237883f7-839ff754 Totem Park Res - Kwakiutl/Shuswap Elec Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,"",virtualMeter,consumption,"","","",✓,"",Number,Energy,✓,"","",✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,"","","","","@p:ubcv:r:23788239-85539535, @p:ubcv:r:2375e3cd-3e3dfecb, @p:ubcv:r:21541f22-ce98500f, @p:ubcv:r:237882a3-5f199657, @p:ubcv:r:237883c5-33259fa9, @p:ubcv:r:23788161-44630366, @p:ubcv:r:2378831f-79886b5d","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:35.405Z UTC
@p:ubcv:r:21543531-078d8954 Totem Park Res - Kwakiutl/Shuswap Water Main Meter Consumption,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"","",@p:ubcv:r:21543531-53f4f227 Totem Park Res - Kwakiutl/Shuswap Water Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,161786,2015-09-16T13:30:00-07:00 Los_Angeles,ok,✓,"",Number,Consumption,✓,"",3960,✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,464,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,m³,✓,✓,✓,2020-04-28T00:03:35.41Z UTC
@p:ubcv:r:2375e3cd-3e3dfecb Totem Park Res - Kwakiutl/Shuswap Haida Elec Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,✓,@p:ubcv:r:2375e3cd-7e9ec6f3 Totem Park Res - Kwakiutl/Shuswap Haida Elec Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,326895,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,Energy,✓,"",10352,✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:35.859Z UTC
@p:ubcv:r:2378831f-79886b5d Totem Park Res - Kwakiutl/Shuswap Shuswap Elec Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,✓,@p:ubcv:r:2378831f-75b96691 Totem Park Res - Kwakiutl/Shuswap Shuswap Elec Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2020-05-11T03:15:00-07:00 Los_Angeles,"",consumption,326798,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,Energy,✓,"",10355,✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:35.978Z UTC
@p:ubcv:r:237883c5-33259fa9 Totem Park Res - Kwakiutl/Shuswap Ritsumeikan Elec Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,✓,@p:ubcv:r:237883c5-eb10fd3b Totem Park Res - Kwakiutl/Shuswap Ritsumeikan Elec Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,304692,2011-08-19T12:30:00-07:00 Los_Angeles,ok,✓,"",Number,Energy,✓,"",10363,✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:36.134Z UTC
@p:ubcv:r:21541f22-4e04ae8c Totem Park Res - Kwakiutl/Shuswap HW Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,"",✓,@p:ubcv:r:21541f22-3e275ac8 Totem Park Res - Kwakiutl/Shuswap HW Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2017-12-05T15:15:00-08:00 Los_Angeles,"",consumption,195229,2012-02-24T12:45:00-08:00 Los_Angeles,"",✓,✓,Number,Energy,✓,"","",✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,"",@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"",✓,2020-04-28T00:03:35.976Z UTC
@p:ubcv:r:21541f22-ce98500f Totem Park Res - Kwakiutl/Shuswap Kwak Elec Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,✓,@p:ubcv:r:21541f22-61c3ae2c Totem Park Res - Kwakiutl/Shuswap Kwak Elec Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,161872,2015-09-16T13:30:00-07:00 Los_Angeles,ok,✓,"",Number,Energy,✓,"",10572,✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:35.771Z UTC
@p:ubcv:r:23788239-85539535 Totem Park Res - Kwakiutl/Shuswap Dene Elec Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,✓,@p:ubcv:r:23788239-86bf4128 Totem Park Res - Kwakiutl/Shuswap Dene Elec Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,326893,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,Energy,✓,"",10353,✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:36.119Z UTC
@p:ubcv:r:237882a3-5f199657 Totem Park Res - Kwakiutl/Shuswap Nootka Elec Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,✓,@p:ubcv:r:237882a3-8fe97bf6 Totem Park Res - Kwakiutl/Shuswap Nootka Elec Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,326893,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,Energy,✓,"",10354,✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:35.058Z UTC
@p:ubcv:r:2388a048-7280cde3 Totem Park Res - Kwakiutl/Shuswap HW Main Meter Water Delta Temp,"",✓,✓,$equipRef $navName,"","",@p:ubcv:r:21541f22-3e275ac8 Totem Park Res - Kwakiutl/Shuswap HW Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,"",deltaTemp,consumption,"","","","","",Number,Water Delta Temp,✓,"","","",@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,"","","","","",✓,Los_Angeles,°C,✓,"",✓,2020-04-28T00:03:35.977Z UTC
@p:ubcv:r:23788161-44630366 Totem Park Res - Kwakiutl/Shuswap Salish Elec Main Meter Energy,@p:ubcv:r:23060489-d61f5459 ION DB,"","",$equipRef $navName,✓,✓,@p:ubcv:r:23788161-fe1da48d Totem Park Res - Kwakiutl/Shuswap Salish Elec Main Meter,@p:ubcv:r:21697fca-48800df4 Totem Park Res - Kwakiutl/Shuswap Utilities,✓,2020-05-12T03:15:00-07:00 Los_Angeles,"",consumption,326895,2010-12-31T16:00:00-08:00 Los_Angeles,ok,✓,"",Number,Energy,✓,"",10351,✓,@p:ubcv:r:21541f22-6fdcd28d Totem Park Res - Kwakiutl/Shuswap,285,@p:ubcv:r:23060489-d61f5459 ION DB,✓,✓,"","",Los_Angeles,kWh,✓,"","",2020-04-28T00:03:35.758Z UTC
