id,air,apparent,bacnetConnRef,bacnetCur,bacnetPoint,co,co2,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,efficiency,elec,energy,entering,equipRef,exhaust,flow,gas,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,nox,o2,opcConnRef,opcCur,opcPoint,point,pointType,power,pressure,primaryLoop,pump,quantityID,real,sensor,siteRef,sourceID,sp,speed,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,water,mod
@p:ubcv:r:25854150-3672d211 Campus Energy Centre Boiler B-3 Exhaust Temp,✓,"","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,89°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,5°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14561,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Exhaust_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258a78f0-3fd3c785 Campus Energy Centre Boiler B-3 Energy,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,156706.609375MWh,"","",$equipRef $navName,"","",✓,"",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",13641,2019-12-16T09:30:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Total_Heat_Delivered,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MWh,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a6478b-b758c69f Campus Energy Centre Boiler B-2 Entering Water Temp,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,25.31999969482422°C,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",15040,2020-01-06T11:45:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Entering_Water_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258540c9-544f6158 Campus Energy Centre Boiler B-2 Exhaust NOx,✓,"","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0ppm,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2ppm,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",26189,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust NOx,✓,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Exhaust_NOX_Lvl,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,ppm,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25854150-0d983b8b Campus Energy Centre Boiler B-3 Efficiency,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,87.69999694824219%,"","",$equipRef $navName,✓,"","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14119,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Efficiency,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Efficiency,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a65ad0-0b19ae71 Campus Energy Centre Process System P-103 Status,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,false,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,✓,"",2020-05-08T11:46:57-07:00 Los_Angeles,"","",106,2020-01-06T12:53:48-08:00 Los_Angeles,ok,"","",Bool,"",P-103 Status,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.P_103_Status,✓,✓,"","","","",✓,"","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,"","","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a644c7-60799394 Campus Energy Centre Boiler B-1 Entering Water Temp,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,27.700498580932617°C,"","",$equipRef $navName,"","","",✓,@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",21586,2020-01-06T11:30:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Entering_Water_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258540c9-830b1d03 Campus Energy Centre Boiler B-2 Exhaust CO2,✓,"","","","","",✓,@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0%,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",17762,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust CO2,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Exhaust_CO2_Lvl,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258578fe-73f17485 Campus Energy Centre Boiler B-1 Power,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0MW,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,0.25MW,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",88762,2019-12-12T14:30:00-08:00 Los_Angeles,ok,"",✓,Number,"",Power,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Heat_Output,✓,✓,"",✓,"","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MW,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25853ec3-3b00e671 Campus Energy Centre Boiler B-1 Exhaust CO,✓,"","","","",✓,"",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,3ppm,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2ppm,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14069,2019-12-12T10:15:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust CO,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Exhaust_CO_Lvl,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,ppm,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a65b8f-83078fbc Campus Energy Centre Process System CEC Leaving Temp,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,85.66999816894531°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:25a65484-0c6d176a Campus Energy Centre Process System,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14744,2020-01-06T13:00:00-08:00 Los_Angeles,ok,"",✓,Number,✓,CEC Leaving Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Process.CEC_Leaving_Temp,✓,✓,"","","",✓,"","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a641d1-1cfc1291 Campus Energy Centre Boiler B-2 Leaving Water Temp Setpoint,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,87.95758819580078°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",12077,2020-01-06T11:15:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp Setpoint,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Leaving_Water_Temp_SP,✓,✓,"","","","","","","","",@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"",✓,"","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258a7873-eeb0bda8 Campus Energy Centre Boiler B-2 Energy,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,131424.703125MWh,"","",$equipRef $navName,"","",✓,"",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",13641,2019-12-16T09:30:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Total_Heat_Delivered,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MWh,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:205b03d6-b9859d31 Campus Energy Centre Campus HW Main Meter Flow,"","",@p:ubcv:r:24704ff2-42197e12 CEC DES Meter,AI4,✓,"","",@p:ubcv:r:24704ff2-42197e12 CEC DES Meter,✓,m³/h => L/s,ok,50L/s,"","",$equipRef $navName,"","","","",@p:ubcv:r:205b02f3-c9b5178f Campus Energy Centre Campus HW Main Meter,"",✓,"",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,1L/s,10min,2020-05-12T14:25:25-07:00 Los_Angeles,"",consumption,475582,2016-05-20T10:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","","","",✓,✓,"","","","",10625,"",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,538,"","",@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,L/s,✓,✓,2020-04-28T00:03:35.878Z UTC
@p:ubcv:r:2584399f-9b7afe66 Campus Energy Centre Boiler B-3 Firing Rate,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,20%,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5%,15min,2020-05-12T14:23:36-07:00 Los_Angeles,"","",39347,2019-12-12T08:45:00-08:00 Los_Angeles,ok,"","",Number,"",Firing Rate,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Firing_Rate,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25857ae6-20a14786 Campus Energy Centre Boiler B-3 Power,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,4MW,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399f-0d18bd68 Campus Energy Centre Boiler B-3,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,0.25MW,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",36575,2019-12-12T14:45:00-08:00 Los_Angeles,ok,"",✓,Number,"",Power,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_3.Heat_Output,✓,✓,"",✓,"","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MW,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:260bb256-4b5cb551 Campus Energy Centre Virtual Campus Meter Energy,"","","","","","","","","","","","","","",$equipRef $navName,"",✓,✓,"",@p:ubcv:r:260bb256-20d19871 Campus Energy Centre Virtual Campus Meter,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,"","","",virtualCampusOverall,consumption,"","","",✓,"",Number,"",Energy,"","","","","",✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kWh,✓,"",2020-04-28T00:03:35.854Z UTC
@p:ubcv:r:260bb256-93e85635 Campus Energy Centre Virtual Campus Meter Power,"","","","","","","","","","","","","","",$equipRef $navName,"",✓,"","",@p:ubcv:r:260bb256-20d19871 Campus Energy Centre Virtual Campus Meter,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,"","","",virtualCampusOverall,"","","","","","",Number,"",Power,"","","","","",✓,"",✓,"","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,kW,✓,"",2020-05-06T19:21:27.426Z UTC
@p:ubcv:r:2388a048-80f29207 Campus Energy Centre Campus HW Main Meter Water Delta Temp,"","",@p:ubcv:r:24704ff2-42197e12 CEC DES Meter,"",✓,"","","","","","","",✓,✓,$equipRef $navName,"","","","",@p:ubcv:r:205b02f3-c9b5178f Campus Energy Centre Campus HW Main Meter,"","","",@p:ubcv:r:21697fca-faa5ef20 Campus Energy Centre Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","","",✓,"","","","","","","","",@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,✓,✓,2020-04-28T00:03:35.879Z UTC
@p:ubcv:r:258540c9-2237c86a Campus Energy Centre Boiler B-2 Efficiency,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0%,"","",$equipRef $navName,✓,"","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2.5%,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14091,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"","",Number,"",Efficiency,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Efficiency,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,%,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25853fde-bc036e88 Campus Energy Centre Boiler B-1 Exhaust Temp,✓,"","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,119°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,✓,"","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,5°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",14068,2019-12-12T10:15:00-08:00 Los_Angeles,ok,"","",Number,"",Exhaust Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Exhaust_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258a77fa-42b0c137 Campus Energy Centre Boiler B-1 Energy,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,127908.3046875MWh,"","",$equipRef $navName,"","",✓,"",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,"",15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",13642,2019-12-16T09:15:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Total_Heat_Delivered,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MWh,"","",2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:258540c9-8dbfd33c Campus Energy Centre Boiler B-2 Leaving Water Temp,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0°C,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,2°C,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",36461,2019-12-12T10:30:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Leaving_Water_Temp,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","",✓,Los_Angeles,°C,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25857ad0-311fe994 Campus Energy Centre Boiler B-2 Power,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,"",ok,0MW,"","",$equipRef $navName,"","","","",@p:ubcv:r:2584399c-1ec9e805 Campus Energy Centre Boiler B-2,"","","",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,0.25MW,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",49208,2019-12-13T00:00:00-08:00 Los_Angeles,ok,"",✓,Number,"",Power,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_2.Heat_Output,✓,✓,"",✓,"","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,MW,"",✓,2020-03-17T20:57:47.078Z UTC
@p:ubcv:r:25a64385-012f116c Campus Energy Centre Boiler B-1 Water Flow Rate,"","","","","","","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,✓,m³/h => L/s,ok,1.1328125203312489E-7L/s,"","",$equipRef $navName,"","","","",@p:ubcv:r:258437cc-cc84334e Campus Energy Centre Boiler B-1,"",✓,"",@p:ubcv:r:21dff50a-c031b152 Campus Energy Centre Plant Systems,✓,1L/s,15min,2020-05-12T14:15:00-07:00 Los_Angeles,"","",125406,2020-01-06T11:15:00-08:00 Los_Angeles,ok,"",✓,Number,"",Water Flow Rate,"","",@p:ubcv:r:25fe9141-0e2ce41f Factorytalk KepServer,ns=2;s=SkySpark.CEC.Boiler_1.Flow_Rate,✓,✓,"","","","","","","",✓,@p:ubcv:r:205b02b4-224a0e75 Campus Energy Centre,"","","","","","",Los_Angeles,L/s,"",✓,2020-03-17T20:57:47.078Z UTC
