id,air,alarm,bacnetConnRef,bacnetCur,bacnetHis,bacnetPoint,bmsName,cmd,connRef,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,discharge,elec,energy,entering,enum,equipName,equipRef,exhaust,fan,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,jci,kind,lastSynced,leaving,low,navName,noTagMatch,objectId,occ,opcConnRef,opcCur,opcPoint,outside,point,power,pressure,pump,quantityID,run,scheduled,sensor,siteRef,sourceID,sp,sqlConnRef,sqlPoint,tagTableRef,temp,tlName,tz,unit,utilityPoint,valve,volume,water,zachName,zone,mod
@p:ubcv:r:25a64868-d0892507 FNH Unsorted Points JCL-NAE20/N2-A.20A012UN.RHC-D,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000196,"",JCL-NAE20/N2-A.20A012UN.RHC-D,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.935-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A012UN.RHC-D,✓,AO3000195,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A012UN.RHC-D.Trend1,Los_Angeles,_,"","","","",FNH.DMP3.RHC-D,"",2020-04-09T19:15:04.398Z UTC
@p:ubcv:r:25a64868-a61fadbf FNH Unsorted Points JCL-NAE20/N2-A.20A003UN.RHC-D3,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000075,"",JCL-NAE20/N2-A.20A003UN.RHC-D3,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T12:00:00-07:00 Los_Angeles,"","",282,2019-12-24T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.813-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A003UN.RHC-D3,✓,AO3000074,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A003UN.RHC-D3.Trend1,Los_Angeles,_,"","","","",FNH.DMP1.RHC-D3,"",2020-04-09T19:15:04.399Z UTC
@p:ubcv:r:25a64868-0fd4f5c9 FNH Unsorted Points JCL-NAE20/N2-A.20A012UN.RHC-D2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000190,"",JCL-NAE20/N2-A.20A012UN.RHC-D2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.942-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A012UN.RHC-D2,✓,AO3000189,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A012UN.RHC-D2.Trend1,Los_Angeles,_,"","","","",FNH.DMP3.RHC-D2,"",2020-04-09T19:15:04.4Z UTC
@p:ubcv:r:25a64868-a7ae7934 FNH Unsorted Points JCL-NAE20/N2-A.20A011UN.RHC-D3,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000188,"",JCL-NAE20/N2-A.20A011UN.RHC-D3,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.949-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A011UN.RHC-D3,✓,AO3000187,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A011UN.RHC-D3.Trend1,Los_Angeles,_,"","","","",FNH.DMP3.RHC-D3,"",2020-04-09T19:15:04.401Z UTC
@p:ubcv:r:25a64868-5e145e21 FNH Unsorted Points JCL-NAE20/N2-A.20A001UN.ZN-SP1,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000220,"",JCL-NAE20/N2-A.20A001UN.ZN-SP1,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.956-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A001UN.ZN-SP1,✓,AO3000219,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A001UN.ZN-SP1.Trend1,Los_Angeles,°C,"","","","",FNH.RH1.ZN-SP1,"",2020-04-09T19:02:01.316Z UTC
@p:ubcv:r:25a64868-1650f582 FNH Unsorted Points JCL-NAE20/N2-A.20A001UN.ZN-T3,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000032,"",JCL-NAE20/N2-A.20A001UN.ZN-T3,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.963-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A001UN.ZN-T3,✓,AI3000030,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A001UN.ZN-T3.Trend1,Los_Angeles,°C,"","","","",FNH.RH1.ZN-T3,"",2020-04-09T19:02:01.317Z UTC
@p:ubcv:r:25a64868-c5c591b0 FNH Unsorted Points JCL-NAE20/N2-A.20A002UN.ZN-SP2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000247,"",JCL-NAE20/N2-A.20A002UN.ZN-SP2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.974-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A002UN.ZN-SP2,✓,AO3000246,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A002UN.ZN-SP2.Trend1,Los_Angeles,°C,"","","","",FNH.RH1.ZN-SP2,"",2020-04-09T19:02:01.318Z UTC
@p:ubcv:r:25a64868-f3ceec2d FNH Unsorted Points JCL-NAE20/N2-A.20A006UN.ZN-T2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000106,"",JCL-NAE20/N2-A.20A006UN.ZN-T2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.981-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A006UN.ZN-T2,✓,AI3000104,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A006UN.ZN-T2.Trend1,Los_Angeles,°C,"","","","",FNH.RH2.ZN-T2,"",2020-04-09T19:02:01.319Z UTC
@p:ubcv:r:25a64868-29a8f2e6 FNH Unsorted Points JCL-NAE20/N2-A.20A003UN.COOL1-T,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000064,"",JCL-NAE20/N2-A.20A003UN.COOL1-T,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.989-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A003UN.COOL1-T,✓,AI3000062,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A003UN.COOL1-T.Trend1,Los_Angeles,°C,"","","","",FNH.MISC.COOL1-T,"",2020-04-09T19:02:01.32Z UTC
@p:ubcv:r:25a64868-dcffa3fc FNH Unsorted Points JCL-NAE20/N2-A.20A015UN.DX1-C,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000341,"",JCL-NAE20/N2-A.20A015UN.DX1-C,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T13:42:35-07:00 Los_Angeles,"","",38,2020-01-08T08:02:32-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:33:17.918-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A015UN.DX1-C,✓,BO3000340,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A015UN.DX1-C.Trend1,Los_Angeles,"","","","","",FNH.HVAC1.DX1-C,"",2020-04-08T18:55:34.247Z UTC
@p:ubcv:r:25a64868-0077d57c FNH Unsorted Points JCL-NAE20/N2-A.20A001UN.RHC-V4,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000043,"",JCL-NAE20/N2-A.20A001UN.RHC-V4,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.996-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A001UN.RHC-V4,✓,AO3000042,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A001UN.RHC-V4.Trend1,Los_Angeles,%,"","","","",FNH.RH1.RHC-V4,"",2020-04-09T19:02:01.321Z UTC
@p:ubcv:r:25a64868-4e4481e2 FNH Unsorted Points JCL-NAE20/N2-A.20A009UN.ZN-T2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000148,"",JCL-NAE20/N2-A.20A009UN.ZN-T2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:18.003-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A009UN.ZN-T2,✓,AI3000146,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A009UN.ZN-T2.Trend1,Los_Angeles,°C,"","","","",FNH.RH3.ZN-T2,"",2020-04-09T19:02:01.322Z UTC
@p:ubcv:r:25a64868-f945414a FNH Unsorted Points JCL-NAE20/N2-A.20A007UN.RHC-D2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000132,"",JCL-NAE20/N2-A.20A007UN.RHC-D2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.363-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A007UN.RHC-D2,✓,AO3000131,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A007UN.RHC-D2.Trend1,Los_Angeles,_,"","","","",FNH.DMP2.RHC-D2,"",2020-04-09T19:15:04.402Z UTC
@p:ubcv:r:25a64868-b0fc08ed FNH Unsorted Points P1 JCL-NAE20/N2-A.20A013UN.P1-S,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000203,"",JCL-NAE20/N2-A.20A013UN.P1-S,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $equipName $bmsName,"","","","","Off,On",P1,@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T12:00:00-07:00 Los_Angeles,"","",265,2020-01-01T12:00:00-08:00 Los_Angeles,ok,"","",✓,Bool,2020-05-12T14:33:17.82-07:00 Los_Angeles,"","",Run Status,"",BI3000202,"","","","","",✓,"","",✓,"",✓,"",✓,@p:ubcv:r:20a64546-f3ae027f FNH,"","","","",@p:ubcv:r:23e65d3d-742086c0 .+(\.|-|_)P\d+-(FS-)?S,"",JCL-NAE20/N2-A.20A013UN.P1-S.Trend1,Los_Angeles,"","","","","",FNH.HX1.P1-S,"",2020-05-12T11:03:27.55Z UTC
@p:ubcv:r:25a64868-d44696c6 FNH Unsorted Points JCL-NAE20/N2-A.20A003UN.RHC-D2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000073,"",JCL-NAE20/N2-A.20A003UN.RHC-D2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T12:00:00-07:00 Los_Angeles,"","",282,2019-12-24T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.829-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A003UN.RHC-D2,✓,AO3000072,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A003UN.RHC-D2.Trend1,Los_Angeles,_,"","","","",FNH.DMP1.RHC-D2,"",2020-04-09T19:15:04.403Z UTC
@p:ubcv:r:25a64868-375bc2e0 FNH Unsorted Points JCL-NAE20/N2-A.20A004UN.RHC-D2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000077,"",JCL-NAE20/N2-A.20A004UN.RHC-D2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T12:00:00-07:00 Los_Angeles,"","",282,2019-12-24T00:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:17.836-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A004UN.RHC-D2,✓,AO3000076,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A004UN.RHC-D2.Trend1,Los_Angeles,_,"","","","",FNH.DMP1.RHC-D2,"",2020-04-09T19:15:04.404Z UTC
@p:ubcv:r:25a64868-364b6cfc FNH Unsorted Points JCL-NAE20/N2-A.20A001UN.ZN-T4,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000035,"",JCL-NAE20/N2-A.20A001UN.ZN-T4,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.369-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A001UN.ZN-T4,✓,AI3000033,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A001UN.ZN-T4.Trend1,Los_Angeles,°C,"","","","",FNH.RH1.ZN-T4,"",2020-04-09T19:02:01.326Z UTC
@p:ubcv:r:25a64868-04fad0d0 FNH Unsorted Points JCL-NAE20/N2-A.20A010UN.ZN-SP1,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000305,"",JCL-NAE20/N2-A.20A010UN.ZN-SP1,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.376-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A010UN.ZN-SP1,✓,AO3000304,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A010UN.ZN-SP1.Trend1,Los_Angeles,°C,"","","","",FNH.RH3.ZN-SP1,"",2020-04-09T19:02:01.327Z UTC
@p:ubcv:r:25a64868-44f27e33 FNH Unsorted Points JCL-NAE20/N2-A.20A002UN.ZN-T2,"","",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000049,"",JCL-NAE20/N2-A.20A002UN.ZN-T2,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.383-07:00 Los_Angeles,"","",JCL-NAE20/N2-A.20A002UN.ZN-T2,✓,AI3000047,"","","","","",✓,"","","","","","","",@p:ubcv:r:20a64546-f3ae027f FNH,"","","","","","",JCL-NAE20/N2-A.20A002UN.ZN-T2.Trend1,Los_Angeles,°C,"","","","",FNH.RH1.ZN-T2,"",2020-04-09T19:02:01.328Z UTC
@p:ubcv:r:25a64868-d55df806 FNH Unsorted Points JCL-NAE20/N2-A.20A006UN.ZN-T,✓,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"",TL3000109,"",JCL-NAE20/N2-A.20A006UN.ZN-T,"",@p:ubcv:r:25a64785-e0f44e2e FNH (NAE-20),"","","","","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:25a64868-2ec1707e FNH Unsorted Points,"","","",@p:ubcv:r:25a64868-ea8dec3e FNH Unsorted Points,✓,"","",2020-05-12T14:30:00-07:00 Los_Angeles,"","",6026,2020-01-05T12:00:00-08:00 Los_Angeles,ok,"","",✓,Number,2020-05-12T14:33:24.391-07:00 Los_Angeles,"","",Zone Temp,"",AI3000107,"","","","","",✓,"","","","","","",✓,@p:ubcv:r:20a64546-f3ae027f FNH,"","","","",@p:ubcv:r:23e65d3e-80cb0985 .+(\.|-| |_)(SUPRAD)?ZN(LL)?(\d+)?\w?-T,✓,JCL-NAE20/N2-A.20A006UN.ZN-T.Trend1,Los_Angeles,°C,"","","","",FNH.RH2.ZN-T,✓,2020-04-09T19:02:01.329Z UTC
