id,bacnetConnRef,bacnetCur,bacnetPoint,bmsName,bridgeName,connRef,count,cur,curConvert,curStatus,curVal,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,objectId,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,sensor,siemens,siteRef,sourceID,sqlConnRef,sqlPoint,temp,toTag,tz,unit,utilityPoint,volume,water,wifi,wifiId,zachName,mod
@p:ubcv:r:253a1481-03505320 Fred Kaiser Rm South Wifi Count,"","","","",313.FLR5.AHU1-South,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,48679,2019-10-16T10:45:00-07:00 Los_Angeles,"","","",Number,"",Rm South Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,783,"",2020-02-26T18:09:16.791Z UTC
@p:ubcv:r:2539fc43-b1005987 Fred Kaiser Rm 3085 Wifi Count,"","","","",313.FLR3.AHU1-3085,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:00-07:00 Los_Angeles,"",cov,49889,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 3085 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,773,"",2020-02-26T18:09:18.235Z UTC
@p:ubcv:r:263b76b0-c23e4d6e Fred Kaiser Elec Main Meter Energy,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,1869606.875kWh,"","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a665c8-48591a0d Fred Kaiser Elec Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,251852,2013-03-07T15:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Energy,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Kaiser_313.Elec_Energy,✓,✓,"","",10393,✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,228,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"","","","","",2020-05-04T19:39:55.22Z UTC
@p:ubcv:r:2539fc43-db03fe0a Fred Kaiser Rm 4090 Wifi Count,"","","","",313.FLR4.AHU1-4090,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:00-07:00 Los_Angeles,"",cov,49829,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 4090 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,775,"",2020-02-26T18:09:17.976Z UTC
@p:ubcv:r:2388a048-ea4e3fd2 Fred Kaiser HW Main Meter Water Delta Temp,"","","","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","","",✓,"","","","","",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","",✓,"",Los_Angeles,°C,✓,"",✓,"","","",2020-04-28T00:03:35.86Z UTC
@p:ubcv:r:2539fc42-04ba2c67 Fred Kaiser Rm 4025 Wifi Count,"","","","",313.FLR4.AHU1-4025,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",2,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49735,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 4025 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,781,"",2020-02-26T18:09:17.277Z UTC
@p:ubcv:r:20a665c8-57d4adbe Fred Kaiser HW Main Meter Energy,@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,AI2,✓,"","",@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,"",✓,MWh => kWh,ok,3590309.814453125kWh,"","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,243269,2013-04-04T08:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","","",✓,✓,"",10364,✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,228,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kWh,✓,"",✓,"","","",2020-04-28T00:03:35.861Z UTC
@p:ubcv:r:2539fc43-8bc25e99 Fred Kaiser Rm 3030 Wifi Count,"","","","",313.FLR3.AHU1-3030,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49818,2019-10-16T09:10:00-07:00 Los_Angeles,"","","",Number,"",Rm 3030 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,774,"",2020-02-26T18:09:18.06Z UTC
@p:ubcv:r:2539fc43-20c42cf4 Fred Kaiser Rm 3070 Wifi Count,"","","","",313.FLR3.AHU1-3070,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49820,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 3070 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,771,"",2020-02-26T18:09:18.449Z UTC
@p:ubcv:r:20a665c8-7170b85b Fred Kaiser HW Main Meter Power,@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,AI5,✓,"","",@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,"",✓,MW => kW,ok,0kW,"","",$equipRef $navName,"","","",@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,5kW,15min,2020-05-12T14:45:00-07:00 Los_Angeles,"","",328651,2016-05-05T12:15:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","","",✓,"",✓,"",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,kW,✓,"",✓,"","","",2020-05-12T08:00:09.804Z UTC
@p:ubcv:r:2539fc43-3d498740 Fred Kaiser Rm 2020/2030 Wifi Count,"","","","",313.FLR2.AHU1-2020/2030,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",12,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49582,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 2020/2030 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,768,"",2020-02-26T18:09:18.881Z UTC
@p:ubcv:r:2539fc42-2568e9da Fred Kaiser Rm 4065 Wifi Count,"","","","",313.FLR4.AHU1-4065,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49996,2019-10-16T09:10:00-07:00 Los_Angeles,"","","",Number,"",Rm 4065 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,777,"",2020-02-26T18:09:17.73Z UTC
@p:ubcv:r:263b76b0-1cf48ce1 Fred Kaiser Elec Main Meter Power,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,153.6119384765625kW,"","",$equipRef $navName,✓,"","",@p:ubcv:r:20a665c8-48591a0d Fred Kaiser Elec Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,5kW,15min,2020-05-12T14:45:00-07:00 Los_Angeles,"","",302527,2013-03-07T15:00:00-08:00 Los_Angeles,ok,"","",Number,"",Power,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Kaiser_313.Elec_Power,✓,✓,"",✓,116,✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,228,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,kW,✓,"","","","","",2020-05-12T08:00:09.805Z UTC
@p:ubcv:r:2539fc43-14b5a3df Fred Kaiser Rm 3075 Wifi Count,"","","","",313.FLR3.AHU1-3075,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49788,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 3075 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,772,"",2020-02-26T18:09:18.369Z UTC
@p:ubcv:r:253a1481-bc09e882 Fred Kaiser Rm North Wifi Count,"","","","",313.FLR5.AHU1-North,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",3,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49670,2019-10-16T10:45:00-07:00 Los_Angeles,"","","",Number,"",Rm North Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,782,"",2020-02-26T18:09:16.923Z UTC
@p:ubcv:r:263b76b1-c4a9453a Fred Kaiser Water Main Meter Consumption,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"",ok,0m³,"","",$equipRef $navName,"","","",@p:ubcv:r:20a665c8-36984e7f Fred Kaiser Water Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,"",15min,2020-05-12T14:45:00-07:00 Los_Angeles,"",consumption,221553,2013-03-07T15:00:00-08:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_Kaiser_313.Water_Volume,✓,✓,"","",10394,✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,228,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"","",Los_Angeles,m³,✓,✓,✓,"","","",2020-05-04T19:39:55.219Z UTC
@p:ubcv:r:2539fc43-82db8bd8 Fred Kaiser Rm 3080 Wifi Count,"","","","",313.FLR3.AHU1-3080,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",1,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49787,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 3080 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,770,"",2020-02-26T18:09:18.63Z UTC
@p:ubcv:r:2539fc42-c856fc3e Fred Kaiser Rm 4095 Wifi Count,"","","","",313.FLR4.AHU1-4095,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",2,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49701,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 4095 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,780,"",2020-02-26T18:09:17.369Z UTC
@p:ubcv:r:21dffdad-63d71d02 Fred Kaiser HW Main Meter Entering Water Temp,@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,AI7,✓,"","",@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,"",✓,"",ok,22.579999923706055°C,"","",$equipRef $navName,"","",✓,@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,0.5°C,10min,2020-05-12T14:40:00-07:00 Los_Angeles,"",consumption,147683,2018-01-17T16:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","",✓,"",Los_Angeles,°C,✓,"",✓,"","","",2020-04-28T00:03:35.863Z UTC
@p:ubcv:r:21dffdad-73993f66 Fred Kaiser HW Main Meter Leaving Water Temp,@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,AI6,✓,"","",@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,"",✓,"",ok,23.489999771118164°C,"","",$equipRef $navName,"","","",@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,"",@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,0.5°C,10min,2020-05-12T14:40:00-07:00 Los_Angeles,"",consumption,152282,2018-01-17T16:20:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","",✓,"",Los_Angeles,°C,✓,"",✓,"","","",2020-04-28T00:03:35.864Z UTC
@p:ubcv:r:2539fc42-6a8764eb Fred Kaiser Rm 4085 Wifi Count,"","","","",313.FLR4.AHU1-4085,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:00-07:00 Los_Angeles,"",cov,49885,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 4085 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,779,"",2020-02-26T18:09:17.45Z UTC
@p:ubcv:r:2539fc43-10e680a9 Fred Kaiser Rm 4060 Wifi Count,"","","","",313.FLR4.AHU1-4060,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",2,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49711,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 4060 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,776,"",2020-02-26T18:09:17.825Z UTC
@p:ubcv:r:261a2cb5-b144389e Fred Kaiser Unsorted Points FKOAT,@p:ubcv:r:261a2326-ccf2a95a Kaiser Node 40,AI1,"",FKOAT,"",@p:ubcv:r:261a2326-ccf2a95a Kaiser Node 40,"","","",ok,18.123252868652344°C,"","",$equipRef $bmsName,"","","",@p:ubcv:r:261a2a44-22089760 Fred Kaiser Unsorted Points,"",@p:ubcv:r:261a2a44-f772d4a4 Fred Kaiser $bmsName,✓,"",10min,2020-05-12T14:40:00-07:00 Los_Angeles,"","",5630,2020-04-03T10:20:00-07:00 Los_Angeles,ok,"","",Number,"",FKOAT,AI1,"","","","",✓,"","","","",✓,@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","",✓,Los_Angeles,°C,"","","","","",KAISER OAT,2020-04-03T17:44:05.086Z UTC
@p:ubcv:r:2539fc42-5a17056b Fred Kaiser Rm 4075 Wifi Count,"","","","",313.FLR4.AHU1-4075,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",0,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:00-07:00 Los_Angeles,"",cov,48823,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 4075 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,778,"",2020-02-26T18:09:17.58Z UTC
@p:ubcv:r:21dffdad-dc7a72c1 Fred Kaiser HW Main Meter Flow,@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,AI3,✓,"","",@p:ubcv:r:21f259e8-0e67e810 KAIS DES Meter,"",✓,m³/h => L/s,ok,0L/s,"","",$equipRef $navName,"","","",@p:ubcv:r:20a665c8-1d187ba9 Fred Kaiser HW Main Meter,✓,@p:ubcv:r:21697fca-101a6bfa Fred Kaiser Utilities,✓,0.25L/s,10min,2020-05-12T14:40:00-07:00 Los_Angeles,"",consumption,115157,2018-01-17T16:20:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,L/s,✓,"",✓,"","","",2020-04-28T00:03:35.865Z UTC
@p:ubcv:r:2539fc43-61de95b2 Fred Kaiser Rm 3090 Wifi Count,"","","","",313.FLR3.AHU1-3090,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","","",3,"","",$siteRef $navName,"","","","","",@p:ubcv:r:2539fc42-e0af2bf6 Fred Kaiser Wifi,✓,"","",2020-05-12T14:40:07-07:00 Los_Angeles,"",cov,49717,2019-10-16T09:10:10-07:00 Los_Angeles,"","","",Number,"",Rm 3090 Wifi Count,"",✓,"","","",✓,"","","",✓,"",@p:ubcv:r:20a665c8-61614b74 Fred Kaiser,"","","","","",Los_Angeles,"","","","",✓,769,"",2020-02-26T18:09:18.734Z UTC
