id,air,alarm,avg,bacnetConnRef,bacnetHis,bacnetPoint,bmsName,cmd,connRef,damper,delta,differential,disMacro,discharge,effective,enable,entering,enum,equipName,equipRef,esc,fan,filter,groupRef,highLim,his,hisEnd,hisErr,hisMode,hisSize,hisStart,hisStatus,hot,kind,lastSynced,lastTagged,leaving,lowLim,mixed,navName,noTagMatch,objectId,point,pointType,pressure,pump,return,run,runtime,scheduleOcc,sensor,siteRef,sp,tagTableRef,temp,tz,unit,water,zone,mod
@p:ubcv:r:23f8b507-93d06e8f Wood Drying Laboratory DES Connection 385_HX1_P1_FAIL_AL_BV,"",✓,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL28,✓,385_HX1_P1_FAIL_AL_BV,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:23f8cabf-a6b11b89 Wood Drying Laboratory DES Connection,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,"",conn fault,"","","",fault,"",Bool,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",Alarm,"",BV10,✓,"","","","","","","",✓,@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"",@p:ubcv:r:245ce60e-528dc0fe .+_AL_BV(_TL)?,"",Los_Angeles,"","","",2020-04-08T18:53:07.48Z UTC
@p:ubcv:r:23f8b507-24c1e18d Wood Drying Laboratory AHU-01 385_AHU1_P2_FAIL_AL_BV,"",✓,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL33,✓,385_AHU1_P2_FAIL_AL_BV,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:23f8ca14-33c02fe2 Wood Drying Laboratory AHU-01,✓,"","",@p:ubcv:r:23f8ca14-cb2bd4b1 Wood Drying Laboratory Air Systems,"",✓,"",conn fault,"","","",fault,"",Bool,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",Alarm,"",BV17,✓,"","","","","","","",✓,@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"",@p:ubcv:r:245ce60e-528dc0fe .+_AL_BV(_TL)?,"",Los_Angeles,"","","",2020-04-08T18:54:19.126Z UTC
@p:ubcv:r:23f8b507-f42e71b1 Wood Drying Laboratory DES Connection 385_DHR_PRES,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL4,✓,385_DHR_PRES,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8cabf-a6b11b89 Wood Drying Laboratory DES Connection,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-08-08T09:15:52-07:00 Los_Angeles,conn fault,"",66165,2019-02-13T14:30:09-08:00 Los_Angeles,fault,"",Number,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",385_DHR_PRES,✓,AI5,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,_,"","",2020-04-09T19:15:03.536Z UTC
@p:ubcv:r:23f8b507-698c98ab Wood Drying Laboratory DES Connection 385_HX1_FLW_SW,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL16,✓,385_HX1_FLW_SW,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","Off,On","",@p:ubcv:r:23f8cabf-a6b11b89 Wood Drying Laboratory DES Connection,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,"",conn fault,"","","",fault,"",Bool,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",385_HX1_FLW_SW,✓,BI4,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,"","","",2020-04-08T18:53:30.348Z UTC
@p:ubcv:r:23f8b507-5b6a43a1 Wood Drying Laboratory AHU-01 385_AHU1_SCH,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL29,✓,385_AHU1_SCH,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8ca14-33c02fe2 Wood Drying Laboratory AHU-01,✓,"","",@p:ubcv:r:23f8ca14-cb2bd4b1 Wood Drying Laboratory Air Systems,"",✓,"",conn fault,"","","",fault,"",Str,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",Scheduled Occupancy,"",SCH2,✓,"","","","","","",✓,"",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"",@p:ubcv:r:24ede11b-a499e164 .+_SCH(.+)?(_TL)?,"",Los_Angeles,"","","",2020-04-08T18:53:06.033Z UTC
@p:ubcv:r:23f8b507-768d808d Wood Drying Laboratory AHU-01 385_AHU1_SAT_SP,✓,"","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL41,✓,385_AHU1_SAT_SP,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,✓,"","","","","",@p:ubcv:r:23f8ca14-33c02fe2 Wood Drying Laboratory AHU-01,✓,"","",@p:ubcv:r:23f8ca14-cb2bd4b1 Wood Drying Laboratory Air Systems,"",✓,2019-08-08T07:14:54-07:00 Los_Angeles,conn fault,"",6709,2019-02-09T15:36:34-08:00 Los_Angeles,fault,"",Number,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",Discharge Air Temp Sp,"",AV30,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,✓,@p:ubcv:r:23e65d0e-055565a9 .+_SAT(_RHCV)?_SP(_AV)?(_TL)?,✓,Los_Angeles,°C,"","",2020-04-14T16:49:59.112Z UTC
@p:ubcv:r:23f8b507-a4a138cf Wood Drying Laboratory Water Main Meter 385_WMTR_DEC,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL60,✓,385_WMTR_DEC,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8cac1-8d609f40 Wood Drying Laboratory Water Main Meter,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,"",conn fault,consumption,"","",fault,"",Number,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",385_WMTR_DEC,✓,AV60,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,_,"","",2020-04-28T00:03:35.093Z UTC
@p:ubcv:r:23f8b507-741709f6 Wood Drying Laboratory Water Main Meter 385_WMTR_LAST_DAY,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL45,✓,385_WMTR_LAST_DAY,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8cac1-8d609f40 Wood Drying Laboratory Water Main Meter,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-07-16T23:58:00-07:00 Los_Angeles,conn fault,consumption,6,2019-03-22T23:58:00-07:00 Los_Angeles,fault,"",Number,2020-05-05T15:51:28.859-07:00 Los_Angeles,"","","","",385_WMTR_LAST_DAY,✓,AV42,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,_,"","",2020-04-28T00:03:35.094Z UTC
@p:ubcv:r:23f8b507-05eb9923 Wood Drying Laboratory DES Connection 385_HX1_OAT_EN_BV,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL26,✓,385_HX1_OAT_EN_BV,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:23f8cabf-a6b11b89 Wood Drying Laboratory DES Connection,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-08-08T00:08:59-07:00 Los_Angeles,conn fault,"",242,2019-03-21T14:09:07-07:00 Los_Angeles,fault,"",Bool,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",385_HX1_OAT_EN_BV,✓,BV6,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,"","","",2020-04-08T18:53:10.222Z UTC
@p:ubcv:r:23f8b507-218da196 Wood Drying Laboratory DES Connection 385_HX1_FREEZE_PROT,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL24,✓,385_HX1_FREEZE_PROT,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:23f8cabf-a6b11b89 Wood Drying Laboratory DES Connection,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-04-15T03:48:24-07:00 Los_Angeles,conn fault,"",107,2019-02-14T12:35:31-08:00 Los_Angeles,fault,"",Bool,2020-05-05T15:51:28.858-07:00 Los_Angeles,"","","","",385_HX1_FREEZE_PROT,✓,BV1,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,"","","",2020-04-08T18:53:13.755Z UTC
@p:ubcv:r:23f8b507-f83c9e82 Wood Drying Laboratory DES Connection P1 385_HX1_P1_C,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL21,✓,385_HX1_P1_C,✓,@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $equipName $bmsName,"","","","","OFF,ON",P1,@p:ubcv:r:23f8cabf-a6b11b89 Wood Drying Laboratory DES Connection,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-08-08T00:08:59-07:00 Los_Angeles,conn fault,"",194,2019-04-16T07:49:58-07:00 Los_Angeles,fault,✓,Bool,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",Run Cmd,"",BO1,✓,"","",✓,"",✓,"","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"",@p:ubcv:r:244ba6df-17358a53 .+_PC?H?\d+[A-Z]?_P?C(_\d+)?(_TL)?,"",Los_Angeles,"",✓,"",2020-05-13T11:00:59.037Z UTC
@p:ubcv:r:23f8b507-e76a2c2c Wood Drying Laboratory Water Main Meter 385_WMTR_NOV,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL59,✓,385_WMTR_NOV,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8cac1-8d609f40 Wood Drying Laboratory Water Main Meter,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-04-16T07:49:58-07:00 Los_Angeles,conn fault,consumption,1,2019-04-16T07:49:58-07:00 Los_Angeles,fault,"",Number,2020-05-05T15:51:28.858-07:00 Los_Angeles,"","","","",385_WMTR_NOV,✓,AV59,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,_,"","",2020-04-28T00:03:35.095Z UTC
@p:ubcv:r:23f8b507-7b424fd8 Wood Drying Laboratory AHU-01 SF 385_AHU1_SFC,✓,"","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL22,✓,385_AHU1_SFC,✓,@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,✓,"","","","OFF,ON","",@p:ubcv:r:25d7526b-6b52b739 Wood Drying Laboratory AHU-01 SF,✓,✓,"",@p:ubcv:r:23f8ca14-cb2bd4b1 Wood Drying Laboratory Air Systems,"",✓,2019-08-08T07:00:54-07:00 Los_Angeles,conn fault,"",386,2019-02-09T20:50:00-08:00 Los_Angeles,fault,"",Bool,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",Discharge Fan Run Cmd,"",BO3,✓,"","","","",✓,"","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"",@p:ubcv:r:23e65d0f-ef6babc0 .+_SF(\d)?C(_TL)?,"",Los_Angeles,"","","",2020-04-08T18:53:17.718Z UTC
@p:ubcv:r:23f8b507-651cac05 Wood Drying Laboratory Water Main Meter 385_WMTR_ACCUM_DAY,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL44,✓,385_WMTR_ACCUM_DAY,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8cac1-8d609f40 Wood Drying Laboratory Water Main Meter,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-07-15T23:59:00-07:00 Los_Angeles,conn fault,consumption,6,2019-03-22T10:10:50-07:00 Los_Angeles,fault,"",Number,2020-05-05T15:51:28.859-07:00 Los_Angeles,"","","","",385_WMTR_ACCUM_DAY,✓,AV41,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,_,"","",2020-04-28T00:03:35.096Z UTC
@p:ubcv:r:23f8b507-c624db55 Wood Drying Laboratory Water Main Meter 385_WMTR_AUG,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL56,✓,385_WMTR_AUG,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8cac1-8d609f40 Wood Drying Laboratory Water Main Meter,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,"",conn fault,consumption,"","",fault,"",Number,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",385_WMTR_AUG,✓,AV56,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,_,"","",2020-04-28T00:03:35.097Z UTC
@p:ubcv:r:23f8b507-f29f1160 Wood Drying Laboratory DES Connection 385_HX1_HILIMIT_PROT,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL27,✓,385_HX1_HILIMIT_PROT,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","OFF,ON","",@p:ubcv:r:23f8cabf-a6b11b89 Wood Drying Laboratory DES Connection,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-08-07T10:38:46-07:00 Los_Angeles,conn fault,"",254,2019-02-11T09:17:03-08:00 Los_Angeles,fault,"",Bool,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",385_HX1_HILIMIT_PROT,✓,BV8,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,"","","",2020-04-08T18:53:09.026Z UTC
@p:ubcv:r:23f8b507-19a7638c Wood Drying Laboratory AHU-01 385_AHU1_RAT,✓,"","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL9,✓,385_AHU1_RAT,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8ca14-33c02fe2 Wood Drying Laboratory AHU-01,✓,"","",@p:ubcv:r:23f8ca14-cb2bd4b1 Wood Drying Laboratory Air Systems,"",✓,2019-08-08T07:32:35-07:00 Los_Angeles,conn fault,"",1831,2019-02-09T16:37:47-08:00 Los_Angeles,fault,"",Number,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",Return Air Temp,"",AI10,✓,"","","",✓,"","","",✓,@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"",@p:ubcv:r:23e65d0f-3b2d274c .+_RAT(_TL)?,✓,Los_Angeles,°C,"","",2020-04-14T16:50:01.245Z UTC
@p:ubcv:r:23f8b507-6559e642 Wood Drying Laboratory Water Main Meter 385_WMTR_JUN,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL54,✓,385_WMTR_JUN,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8cac1-8d609f40 Wood Drying Laboratory Water Main Meter,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,"",conn fault,consumption,"","",fault,"",Number,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",385_WMTR_JUN,✓,AV54,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,_,"","",2020-04-28T00:03:35.098Z UTC
@p:ubcv:r:23f8b507-a4d8441f Wood Drying Laboratory Water Main Meter 385_WMTR_MONTH,"","","",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),TL47,✓,385_WMTR_MONTH,"",@p:ubcv:r:23f8b403-9480a010 Totem 385.0 WOOD PROD LAB (506100),"","","",$equipRef $bmsName,"","","","","","",@p:ubcv:r:23f8cac1-8d609f40 Wood Drying Laboratory Water Main Meter,✓,"","",@p:ubcv:r:23f8cabf-2a327e7d Wood Drying Laboratory Hydronic Systems,"",✓,2019-08-01T00:00:10-07:00 Los_Angeles,conn fault,consumption,6,2019-03-23T00:00:00-07:00 Los_Angeles,fault,"",Number,2020-05-05T15:51:28.86-07:00 Los_Angeles,"","","","",385_WMTR_MONTH,✓,AV44,✓,"","","","","","","","",@p:ubcv:r:23f8c970-d1e27cd0 Wood Drying Laboratory,"","","",Los_Angeles,_,"","",2020-04-28T00:03:35.099Z UTC
