id,bacnetConnRef,bacnetCur,bacnetObjectId,bacnetPoint,bridgeName,connRef,count,cur,curConvert,curErr,curStatus,curVal,current,delta,deltaTempPoint,disMacro,elec,energy,entering,equipRef,flow,groupRef,his,hisCollectCov,hisCollectInterval,hisEnd,hisFunc,hisMode,hisSize,hisStart,hisStatus,hisTotalized,hot,kind,leaving,navName,occ,opcConnRef,opcCur,opcPoint,point,pointType,power,quantityID,reliability,sensor,siteRef,sourceID,sqlConnRef,sqlPoint,temp,tz,unit,utilityPoint,volume,water,wifi,wifiId,mod
@p:ubcv:r:21dffdae-50be89ae Woodward Library HW Main Meter Entering Water Temp,@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,AI9,"",✓,"",@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,"",✓,"","",ok,72.18000030517578°C,"","","",$equipRef $navName,"","",✓,@p:ubcv:r:20a66d3e-a6dbf6b4 Woodward Library HW Main Meter,"",@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,0.5°C,10min,2020-05-12T14:10:00-07:00 Los_Angeles,"",consumption,197567,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Entering Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.761Z UTC
@p:ubcv:r:263b76fa-1949bb8b Woodward Library Elec Main Meter Energy,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"","",ok,8337832.5kWh,"","","",$equipRef $navName,✓,✓,"",@p:ubcv:r:20a66d3e-578411df Woodward Library Elec Main Meter,"",@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,196624,2014-10-03T16:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Energy,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_WLIB_536.Elec_Energy,✓,✓,"","",198,"",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,310,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"","","","",2020-05-04T19:39:55.724Z UTC
@p:ubcv:r:263b76fb-1e1ba158 Woodward Library Elec Main Meter Power,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"","",ok,130.1761474609375kW,"","","",$equipRef $navName,✓,"","",@p:ubcv:r:20a66d3e-578411df Woodward Library Elec Main Meter,"",@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,5kW,15min,2020-05-12T14:12:08-07:00 Los_Angeles,"","",276417,2014-10-03T16:00:00-07:00 Los_Angeles,ok,"","",Number,"",Power,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_WLIB_536.Elec_Power,✓,✓,"",✓,738,"",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,310,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kW,✓,"","","","",2020-05-12T08:00:09.916Z UTC
@p:ubcv:r:21dffdae-e72c3854 Woodward Library HW Main Meter Leaving Water Temp,@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,AI10,"",✓,"",@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,"",✓,"","",ok,40.04999923706055°C,"","","",$equipRef $navName,"","","",@p:ubcv:r:20a66d3e-a6dbf6b4 Woodward Library HW Main Meter,"",@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,0.5°C,10min,2020-05-12T14:10:00-07:00 Los_Angeles,"",consumption,437309,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,✓,Leaving Water Temp,"","","","",✓,"","","","",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.762Z UTC
@p:ubcv:r:23ac528e-1d884605 Woodward Library Wifi Count,"","","","",536.FLR0.AHU1,@p:ubcv:r:237f6144-961b33d5 Wifi Bridge v2,✓,"","",Occ count not updated,"",1,"","","",$siteRef $navName,"","","","","",@p:ubcv:r:23ac414a-e4fb94ef Woodward Library Wifi,✓,"","",2020-05-12T13:45:17-07:00 Los_Angeles,"",cov,69601,2018-12-18T16:50:05-08:00 Los_Angeles,"","","",Number,"",Wifi Count,✓,"","","",✓,"","","","",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,"","","","",Los_Angeles,"","","","",✓,260,2020-02-26T18:09:23.711Z UTC
@p:ubcv:r:20a66d3e-f8b2ed20 Woodward Library HW Main Meter Power,@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,AI5,"",✓,"",@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,"",✓,"","",ok,0kW,"","","",$equipRef $navName,"","","",@p:ubcv:r:20a66d3e-a6dbf6b4 Woodward Library HW Main Meter,"",@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,5kW,15min,2020-05-12T14:00:00-07:00 Los_Angeles,"","",424989,2016-05-10T15:45:00-07:00 Los_Angeles,ok,"",✓,Number,"",Power,"","","","",✓,"",✓,"","",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,"","","","",Los_Angeles,kW,✓,"",✓,"","",2020-05-12T08:00:09.917Z UTC
@p:ubcv:r:22bc2e53-6bb4413e Woodward Library Cooling Plant $bmsName,"","","","","","","","","","","","",✓,"","",$equipRef $bmsName,"","","",@p:ubcv:r:22bc2e39-1125b855 Woodward Library Cooling Plant,"",@p:ubcv:r:21dff50a-4e7a8991 Woodward Library Hydronic Systems,✓,"","","","","","","","","","",Number,"",Compressor 1 Amps,"","","","",✓,"","","","",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,"","","","",Los_Angeles,A,"","","","","",2019-10-28T20:29:45.579Z UTC
@p:ubcv:r:20a66d3e-5947a0fc Woodward Library HW Main Meter Energy,@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,AI1,"",✓,"",@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,"",✓,MWh => kWh,"",ok,2715918.212890625kWh,"","","",$equipRef $navName,"",✓,"",@p:ubcv:r:20a66d3e-a6dbf6b4 Woodward Library HW Main Meter,"",@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,139272,2016-05-05T11:15:00-07:00 Los_Angeles,ok,✓,✓,Number,"",Energy,"","","","",✓,"","",10364,"",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,522,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,kWh,✓,"",✓,"","",2020-04-28T00:03:35.764Z UTC
@p:ubcv:r:24367d07-bd3577fa Woodward Library Reliability,"","","",✓,"","","",✓,"","","","","","","",$siteRef $navName,"","","","","","",✓,"","","","","","","","","","",Bool,"",Reliability,"","","","",✓,"","","",✓,"",@p:ubcv:r:20a66d3e-36e615cb Woodward Library,"","","","",Los_Angeles,"","","","",✓,"",2020-02-03T19:32:36.693Z UTC
@p:ubcv:r:263b76fb-5189280b Woodward Library Water Main Meter Consumption,"","","","","",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,"",✓,"","",ok,108107.3046875m³,"","","",$equipRef $navName,"","","",@p:ubcv:r:20a66d3e-898e60d9 Woodward Library Water Main Meter,"",@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,"",15min,2020-05-12T14:00:00-07:00 Los_Angeles,"",consumption,319706,2011-03-31T17:00:00-07:00 Los_Angeles,ok,✓,"",Number,"",Consumption,"",@p:ubcv:r:2549fd47-39d2c491 ION KepServer,ns=2;s=ION - Local.OPC DA.Buildings_WLIB_536.Water_Volume,✓,✓,"","",10394,"",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,87,@p:ubcv:r:23060489-d61f5459 ION DB,✓,"",Los_Angeles,m³,✓,✓,✓,"","",2020-05-04T19:39:55.722Z UTC
@p:ubcv:r:21dffdae-9db794a8 Woodward Library HW Main Meter Flow,@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,AI4,"",✓,"",@p:ubcv:r:21cad7c7-7aec5208 WLIB DES Meter,"",✓,L/h => L/s,"",ok,0L/s,"","","",$equipRef $navName,"","","",@p:ubcv:r:20a66d3e-a6dbf6b4 Woodward Library HW Main Meter,✓,@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,0.25L/s,10min,2020-05-12T14:10:00-07:00 Los_Angeles,"",consumption,194726,2018-01-03T14:10:00-08:00 Los_Angeles,ok,"",✓,Number,"",Flow,"","","","",✓,"","","","",✓,@p:ubcv:r:20a66d3e-36e615cb Woodward Library,"","","","",Los_Angeles,L/s,✓,"",✓,"","",2020-04-28T00:03:35.765Z UTC
@p:ubcv:r:2388a048-870ac273 Woodward Library HW Main Meter Water Delta Temp,"","","","","","","","","","","","","",✓,✓,$equipRef $navName,"","","",@p:ubcv:r:20a66d3e-a6dbf6b4 Woodward Library HW Main Meter,"",@p:ubcv:r:21697fca-b41e9c6a Woodward Library Utilities,✓,"","","",deltaTemp,consumption,"","","","","",Number,"",Water Delta Temp,"","","","",✓,"","","","","",@p:ubcv:r:20a66d3e-36e615cb Woodward Library,"","","",✓,Los_Angeles,°C,✓,"",✓,"","",2020-04-28T00:03:35.766Z UTC
